epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_wheat,precision_corn,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_vegetables,recall_wheat,recall_corn,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.056173463655769015,0.0,0.056173463655769015,0.010637166258908627,0.005975264722451763,0.056173463655769015,0.1,0.056173463655769015,0.056173463655769015,0.005617346365576902,0.003155458019086002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056173463655769015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5380356,2.3046055,186905600,186905600,109.27477526664734,102090
1,0.15099427030670712,0.06189894427320619,0.15099427030670712,0.06180256307757479,0.0539391780904713,0.15099427030670712,0.16789950024987504,0.15099427030670712,0.15099427030670712,0.05998776063573162,0.08011999348443301,0.0,0.21978021978021978,0.0,0.0,0.0,0.0,0.0,0.1666382978723404,0.08251231527093596,0.0,0.13094677343382008,0.009995002498750625,0.0,0.0,0.0,0.0,0.0,0.979,0.134,0.0,0.556,2.3100557,2.2990172,186905600,373811200,111.62454509735107,102090
2,0.11436917200314571,0.059984887486286276,0.11436917200314571,0.08135155827438925,0.07165193497324492,0.11436917200314571,0.17295,0.11436917200314571,0.11436917200314571,0.1845023075004938,0.30818985077755756,0.0,0.0,0.0,0.0,0.02669902912621359,0.0,0.0,0.6627318718381113,0.049886621315192746,1.0,0.10570555272542027,0.0,0.0,0.0,0.11,0.0,0.0,0.393,0.396,0.0005,0.83,2.2954423,2.2321696,186905600,560716800,113.03149509429932,102090
3,0.24592742388495675,0.16484808139040175,0.24592742388495675,0.16800869982395877,0.20067848824611256,0.24592742388495675,0.25,0.24592742388495675,0.24592742388495675,0.23570822081963794,0.3247285749753476,0.0,0.0,0.5833333333333334,0.11290322580645161,0.0576271186440678,0.25,0.08868501529051988,0.665351223362273,0.05967976710334789,0.4407427635172037,0.09875976113918236,0.0,0.0035,0.07,0.17,0.01,0.058,0.843,0.082,0.4035,0.86,2.250907,1.9263061,186905600,747622400,111.75511312484741,102090
4,0.38658577687900236,0.29133703265345257,0.38658577687900236,0.2568268504867109,0.3480831132526447,0.38658577687900236,0.32019970014992505,0.38658577687900236,0.38658577687900236,0.326720648573288,0.5516398895561169,0.0,0.9230769230769231,0.56951871657754,0.04714640198511166,0.08121827411167512,0.0,0.11827956989247312,0.6586314152410575,0.09697732997481108,0.5026949335249731,0.2696629213483146,0.005997001499250375,0.3195,0.19,0.16,0.0,0.154,0.847,0.154,0.6995,0.672,1.9248904,1.7902821,186905600,934528000,109.94912505149841,102090
5,0.4592742388495675,0.3767793743210428,0.4592742388495675,0.3248610002851733,0.49157767288787446,0.4592742388495675,0.3551363068465767,0.4592742388495675,0.4592742388495675,0.3611618593212394,0.5892002835851077,0.21762635496210625,0.7061855670103093,0.6111111111111112,0.11904761904761904,0.047619047619047616,0.0273972602739726,0.08979885057471264,0.718065693430657,0.1640378548895899,0.7791327913279132,0.34922279792746114,0.27386306846576713,0.5225,0.075,0.01,0.28,0.25,0.787,0.104,0.575,0.674,1.7841772,1.724075,186905600,1121433600,110.08972072601318,102090
6,0.5538703516458825,0.4755304909146595,0.5538703516458825,0.40442144343387476,0.5949097310686126,0.5538703516458825,0.40966876561719134,0.5538703516458825,0.5538703516458825,0.4629314331735288,0.6743749324339413,0.3293745415836686,0.6815703380588877,0.7721324095458044,0.12637362637362637,0.2608695652173913,0.05660377358490566,0.1021689497716895,0.7898640296662547,0.26344086021505375,0.8511252163877668,0.7251655629139073,0.624687656171914,0.5015,0.46,0.12,0.12,0.358,0.639,0.098,0.7375,0.438,1.7135315,1.6389765,186905600,1308339200,108.65981674194336,102090
7,0.58218177732839,0.5107579379821885,0.58218177732839,0.4213108946309048,0.6264596948426382,0.58218177732839,0.44997088955522235,0.58218177732839,0.58218177732839,0.5012664202831738,0.730685021652801,0.37939367768037624,0.7935967302452316,0.796875,0.10941176470588235,0.35,0.06794425087108014,0.1350729086722947,0.8810975609756098,0.3005050505050505,0.9136310223266745,0.6645299145299145,0.5822088955522239,0.714,0.465,0.07,0.39,0.352,0.289,0.238,0.7775,0.622,1.5769713,1.4817598,186905600,1495244800,110.10950636863708,102090
8,0.6121784069205707,0.5472645868463716,0.6121784069205707,0.44161189520383665,0.6523284309525026,0.6121784069205707,0.4615281359320339,0.6121784069205707,0.6121784069205707,0.4948778636895792,0.7425552589582336,0.3527001562256653,0.8838383838383839,0.8701799485861182,0.12380952380952381,0.2857142857142857,0.042105263157894736,0.14112458654906285,0.744390243902439,0.27427184466019416,0.8661728395061729,0.7171717171717171,0.43728135932033985,0.677,0.065,0.08,0.44,0.256,0.763,0.452,0.877,0.568,1.4993206,1.4143976,186905600,1682150400,111.17175698280334,102090
9,0.6399280979665206,0.5787160287183724,0.6399280979665206,0.4698281415642337,0.6784258872278002,0.6399280979665206,0.5018755372313843,0.6399280979665206,0.6399280979665206,0.5073064070221627,0.7611987360906985,0.41652599360754294,0.8843721770551038,0.9273591310251188,0.12915129151291513,0.27586206896551724,0.07123287671232877,0.15321849501359927,0.7623126338329764,0.3230088495575221,0.877895752895753,0.6686507936507936,0.4892553723138431,0.683,0.175,0.08,0.52,0.338,0.712,0.438,0.9095,0.674,1.4027406,1.3811479,186905600,1869056000,113.52036666870117,102090
