epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_fodder,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,recall_barley,recall_wheat,recall_fodder,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.09690721649484536,2.3536611198804458e-05,0.09690721649484536,0.02033314018301238,0.01986564949254148,0.09690721649484536,0.092,0.09690721649484536,0.09690721649484536,0.01158587293191224,0.011105007716883955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024657534246575342,0.0,0.0,0.1027870680044593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.922,0.0,2.7835598,2.5266128,202928512,202928512,124.06109356880188,102155
1,0.10742268041237113,0.008341106873383852,0.10742268041237114,0.03410373980071264,0.028909636012338022,0.10742268041237113,0.10418181818181817,0.10742268041237113,0.10742268041237113,0.025178847024021997,0.019588741806712526,0.0,0.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1030542737859811,0.0,0.0,0.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.938,0.0,2.5608263,2.533296,202928512,405857024,121.15728616714478,102155
2,0.11154639175257731,0.06603534323742444,0.11154639175257731,0.08939587542308915,0.10810783509591292,0.11154639175257731,0.1972272727272727,0.11154639175257731,0.11154639175257731,0.12423057616882392,0.2072272369294429,0.0,0.0,0.1361111111111111,0.3312883435582822,0.0,0.2721354166666667,0.05064655172413793,0.035788923719958204,0.05060141020323517,0.0,0.0,0.4899645808736718,0.0,0.196,0.027,0.0,0.209,0.235,0.685,0.61,0.0,0.0,0.2075,2.6317043,2.1679657,202928512,608785536,127.93074083328247,102155
3,0.20278350515463917,0.1491980853863254,0.20278350515463917,0.18504142578691243,0.21662799149387124,0.20278350515463917,0.2676363636363636,0.20278350515463917,0.20278350515463917,0.28437901662309134,0.4340147098261311,0.17895402378822836,0.5388888888888889,0.16030534351145037,0.47720364741641336,0.016494845360824743,0.35176282051282054,0.1099290780141844,0.04948646125116713,0.0478553704360156,0.3162393162393162,0.5753880266075388,0.4846153846153846,0.194,0.168,0.0785,0.08,0.439,0.155,0.53,0.675,0.074,0.519,0.0315,2.0338387,2.0597508,202928512,811714048,126.44163346290588,102155
4,0.2532989690721649,0.1924062826165921,0.2532989690721649,0.2272682609496626,0.288647017449775,0.2532989690721649,0.29677272727272724,0.2532989690721649,0.2532989690721649,0.30616678097585937,0.47279694204693856,0.2492736348535039,0.5822281167108754,0.20695364238410596,0.49490373725934317,0.047244094488188976,0.45553822152886114,0.06594982078853047,0.047075606276747506,0.049930651872399444,0.2669902912621359,0.6,0.5510204081632653,0.2195,0.25,0.2185,0.12,0.292,0.46,0.495,0.36,0.11,0.645,0.0945,2.1501825,1.9530451,202928512,1014642560,125.12259554862976,102155
5,0.20154639175257733,0.15591142330997454,0.20154639175257735,0.18830045134039872,0.22378882520913465,0.20154639175257733,0.29204545454545455,0.20154639175257733,0.20154639175257733,0.3274320456542826,0.5031721633245818,0.20970855770108326,0.6811279826464208,0.35353535353535354,0.5245901639344263,0.017964071856287425,0.5255474452554745,0.08015267175572519,0.05273069679849341,0.04525728456292622,0.20192307692307693,0.6092150170648464,0.5097087378640777,0.157,0.07,0.112,0.24,0.144,0.63,0.56,0.365,0.168,0.714,0.0525,1.8219488,1.94098,202928512,1217571072,122.75849390029907,102155
6,0.3955670103092784,0.3099373410471956,0.3955670103092783,0.29491205353963323,0.4063102427108239,0.3955670103092784,0.3418181818181818,0.3955670103092784,0.3955670103092784,0.3504675098375192,0.5160249661560967,0.29219276215884965,0.6931297709923664,0.37755102040816324,0.4856670341786108,0.04413347685683531,0.7086956521739131,0.11913357400722022,0.0715962441314554,0.11229946524064172,0.17668711656441718,0.535483870967742,0.5307653826913457,0.227,0.296,0.4405,0.41,0.163,0.165,0.305,0.105,0.288,0.83,0.5305,2.0159426,1.8502576,202928512,1420499584,119.99524450302124,102155
7,0.3181443298969072,0.2514162297891903,0.3181443298969072,0.24302605216326273,0.34294941550353913,0.3181443298969072,0.3255454545454545,0.3181443298969072,0.3181443298969072,0.3786393593328093,0.5734819868350108,0.18014347181617116,0.7168539325842697,0.3394495412844037,0.618925831202046,0.019801980198019802,0.8484848484848485,0.07548179871520343,0.051031487513572206,0.09090909090909091,0.22704081632653061,0.6400862068965517,0.5369674185463659,0.1595,0.148,0.242,0.02,0.084,0.705,0.705,0.02,0.178,0.891,0.4285,1.7482325,1.7950736,202928512,1623428096,125.1331434249878,102155
8,0.3088659793814433,0.25405328518563564,0.3088659793814433,0.28236015777284534,0.3484257142446279,0.3088659793814433,0.36400000000000005,0.3088659793814433,0.3088659793814433,0.37703198931384335,0.5698840462289538,0.30746636309014225,0.6676258992805756,0.33940774487471526,0.6652719665271967,0.03950617283950617,0.7178329571106095,0.11074197120708748,0.05297741273100616,0.04845222072678331,0.2599009900990099,0.6930618401206636,0.5525727069351231,0.232,0.298,0.2385,0.16,0.318,0.5,0.645,0.36,0.21,0.919,0.1235,1.8651688,1.7570403,202928512,1826356608,126.3214521408081,102155
9,0.3919587628865979,0.32803613838011536,0.3919587628865979,0.3290874397974449,0.43232504391847487,0.3919587628865979,0.38822727272727275,0.3919587628865979,0.3919587628865979,0.41872581845309287,0.61528791225603,0.31336911376464227,0.6716867469879518,0.48306997742663654,0.7157676348547718,0.012027491408934709,0.8058608058608059,0.09523809523809523,0.05781938325991189,0.0661764705882353,0.3288590604026846,0.8024475524475524,0.5670307845084409,0.5575,0.428,0.1725,0.07,0.22,0.62,0.525,0.18,0.294,0.918,0.2855,1.9610051,1.7271271,202928512,2029285120,122.30917406082153,102155
