epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_fodder,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,recall_barley,recall_wheat,recall_fodder,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.10309278350515463,0.0,0.10309278350515463,0.01699235344095157,0.019269679159841985,0.10309278350515463,0.09090909090909091,0.10309278350515463,0.10309278350515463,0.00937207122774133,0.010628122010840683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10309278350515463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.206993,1.9003592,202928512,202928512,117.66054153442383,102155
1,0.10309278350515463,0.0,0.10309278350515463,0.01699235344095157,0.019269679159841985,0.10309278350515463,0.09090909090909091,0.10309278350515463,0.10309278350515463,0.00937207122774133,0.010628122010840683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10309278350515463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.8464762,1.8912673,202928512,405857024,136.70538353919983,102155
2,0.14268041237113402,0.06838379743677703,0.14268041237113402,0.08304871810508273,0.09375441383932366,0.14268041237113402,0.1799090909090909,0.14268041237113402,0.14268041237113402,0.16231995522369222,0.26096125327342073,0.0,0.0,0.14997170345217883,0.3641207815275311,0.0,0.45569620253164556,0.07194244604316546,0.0,0.0452049007182087,0.0,0.1481958762886598,0.5503875968992248,0.0,0.53,0.1025,0.0,0.036,0.05,0.0,0.535,0.0,0.69,0.0355,1.9364996,1.6558944,202928512,608785536,139.1950342655182,102155
3,0.1763917525773196,0.12638719161619938,0.1763917525773196,0.14199406656607544,0.17808921628435315,0.1763917525773196,0.23818181818181816,0.1763917525773196,0.1763917525773196,0.3012289946357006,0.4223288542109628,0.07217666168293613,0.5201535508637236,0.12605042016806722,0.46113989637305697,0.08333333333333333,0.3552821997105644,0.058823529411764705,0.04022503516174402,0.04524566984800283,0.6666666666666666,0.5680272108843537,0.38857142857142857,0.1355,0.03,0.0445,0.02,0.491,0.005,0.715,0.64,0.004,0.501,0.034,1.9119884,1.39556,202928512,811714048,141.2450876235962,102155
4,0.22814432989690722,0.15691341471201126,0.22814432989690722,0.17912414216272984,0.2575211974994785,0.22814432989690722,0.24772727272727274,0.22814432989690722,0.22814432989690722,0.29254682817198563,0.4361082622651083,0.10110968863256511,0.5443548387096774,0.058823529411764705,0.39549180327868855,0.03858520900321544,0.4842300556586271,0.08626198083067092,0.04055984004570123,0.05964698721850274,0.3333333333333333,0.7243589743589743,0.4523685580426861,0.135,0.002,0.0965,0.12,0.261,0.135,0.71,0.49,0.002,0.339,0.4345,1.402482,1.2808115,202928512,1014642560,119.81474804878235,102155
5,0.27030927835051544,0.20691929605692527,0.27030927835051544,0.2309449664867276,0.3111665385187001,0.27030927835051544,0.3057727272727273,0.27030927835051544,0.27030927835051544,0.33427168922291356,0.50060037729083,0.23586259768397877,0.6063829787234043,0.27586206896551724,0.5277486910994764,0.036065573770491806,0.6273458445040214,0.10337078651685393,0.04700272479564033,0.06278434940855324,0.29464285714285715,0.5628415300546448,0.5329411764705883,0.171,0.032,0.252,0.33,0.234,0.23,0.69,0.345,0.132,0.721,0.2265,1.3487163,1.22192,202928512,1217571072,139.46474957466125,102155
6,0.3475257731958763,0.2770400604828738,0.3475257731958763,0.2864977756826809,0.3794935200047263,0.3475257731958763,0.35290909090909095,0.3475257731958763,0.3475257731958763,0.34193978331853175,0.5212288613880433,0.3266584210366581,0.6738197424892703,0.31281198003327787,0.5572289156626506,0.036535859269282815,0.6630824372759857,0.11864406779661017,0.0652395514780836,0.06516492357200322,0.18059299191374664,0.545859872611465,0.5423572744014733,0.314,0.376,0.2775,0.27,0.185,0.315,0.32,0.405,0.268,0.857,0.2945,1.1686631,1.1593518,202928512,1420499584,131.87518095970154,102155
7,0.4134020618556701,0.32837582625118034,0.4134020618556701,0.2889296682180849,0.4041701052249577,0.4134020618556701,0.36109090909090913,0.4134020618556701,0.4134020618556701,0.3435395232758491,0.5052344318716243,0.25810325592575106,0.6163701067615658,0.3126232741617357,0.5335628227194492,0.050970873786407765,0.7377049180327869,0.11419753086419752,0.10285714285714286,0.06741573033707865,0.22932330827067668,0.4975793437331899,0.5163297045101088,0.433,0.634,0.31,0.21,0.045,0.555,0.09,0.15,0.122,0.925,0.498,1.1694293,1.106529,202928512,1623428096,128.03687596321106,102155
8,0.3817525773195876,0.3087015269652146,0.3817525773195876,0.29843939266894104,0.40367282704109453,0.3817525773195876,0.35986363636363633,0.3817525773195876,0.3817525773195876,0.3648602471891868,0.5473516695234903,0.26717617503896673,0.6917221693625119,0.5420560747663551,0.6369047619047619,0.03333333333333333,0.6925566343042071,0.07832322118036404,0.058712121212121215,0.07942238267148015,0.17547568710359407,0.49580272822665267,0.529153605015674,0.3635,0.464,0.214,0.04,0.214,0.71,0.31,0.11,0.166,0.945,0.422,1.0016066,1.0882454,202928512,1826356608,117.06685876846313,102155
9,0.41010309278350515,0.33792660859068124,0.41010309278350515,0.31124671837682355,0.43067939412735606,0.41010309278350515,0.3776818181818182,0.41010309278350515,0.41010309278350515,0.41310976950752193,0.5963462227741019,0.2584159615593286,0.6612267867191897,0.48742138364779874,0.6802721088435374,0.028883183568677792,0.8817204301075269,0.10923276983094929,0.055793991416309016,0.1111111111111111,0.2837209302325581,0.7134964483030781,0.531328320802005,0.5875,0.62,0.2,0.45,0.082,0.42,0.325,0.02,0.122,0.904,0.424,1.1475601,1.0909986,202928512,2029285120,143.8397922515869,102155
10,0.5091752577319587,0.4301285310246449,0.5091752577319587,0.36677405043273964,0.5136057148202241,0.5091752577319587,0.4069545454545454,0.5091752577319587,0.5091752577319587,0.42783661849528126,0.5932721428056767,0.3311230088662,0.6975278720310227,0.5876993166287016,0.594776119402985,0.05172413793103448,0.8333333333333334,0.15311004784688995,0.075,0.08461538461538462,0.4129032258064516,0.6622470341939986,0.5532663316582914,0.7195,0.516,0.3985,0.36,0.155,0.32,0.27,0.11,0.128,0.949,0.5505,1.150414,1.0395991,202928512,2232213632,140.03153252601624,102155
11,0.4794845360824742,0.3997595376062595,0.4794845360824742,0.34229436503120964,0.479135024609152,0.4794845360824742,0.39740909090909093,0.4794845360824742,0.4794845360824742,0.41574003989122904,0.5753918121770303,0.30167276571111906,0.6749888542131074,0.7723880597014925,0.5607101947308133,0.04585152838427948,0.696969696969697,0.12208258527827648,0.09195402298850575,0.09417040358744394,0.28308823529411764,0.6429056347589952,0.588031222896791,0.757,0.414,0.4895,0.42,0.046,0.34,0.36,0.105,0.154,0.947,0.339,0.93357867,1.0651071,202928512,2435142144,132.60452461242676,102155
12,0.5227835051546392,0.44556850426368944,0.5227835051546392,0.39129567824645367,0.5278677015221616,0.5227835051546392,0.4292727272727273,0.5227835051546392,0.5227835051546392,0.48061084555453737,0.638544084648028,0.34203081592410867,0.6917780477926286,0.7716049382716049,0.6511627906976745,0.042638777152051485,0.8609271523178808,0.1711229946524064,0.11787819253438114,0.07614213197969544,0.48945147679324896,0.8887775551102205,0.525235243798118,0.854,0.5,0.28,0.53,0.13,0.32,0.3,0.075,0.232,0.887,0.614,0.9390054,0.9882344,202928512,2638070656,126.82197284698486,102155
13,0.4758762886597938,0.4048943310570031,0.4758762886597938,0.3725598766525556,0.501765309405986,0.4758762886597938,0.43222727272727274,0.4758762886597938,0.4758762886597938,0.44751824173629423,0.6390945703505398,0.37272173475218007,0.9096545615589017,0.8103448275862069,0.6633554083885209,0.0384,0.7817589576547231,0.1323529411764706,0.0987535953978907,0.09364548494983277,0.2891566265060241,0.5576592082616179,0.5476190476190477,0.5135,0.47,0.3005,0.24,0.24,0.585,0.515,0.14,0.192,0.972,0.5865,1.0080748,0.98977274,202928512,2840999168,133.50864934921265,102155
14,0.5109278350515464,0.44175777250471904,0.5109278350515464,0.4210802898668715,0.5409709133639895,0.5109278350515464,0.4636818181818182,0.5109278350515464,0.5109278350515464,0.4716400298712053,0.6555866033816098,0.42408684666643565,0.9474153297682709,0.764525993883792,0.6410891089108911,0.040774719673802244,0.7142857142857143,0.21333333333333335,0.09750297265160524,0.10714285714285714,0.367003367003367,0.7754763877381938,0.5194905441914319,0.5315,0.5,0.259,0.4,0.39,0.4,0.41,0.165,0.436,0.936,0.673,0.9436749,0.9468173,202928512,3043927680,125.30549454689026,102155
15,0.5169072164948454,0.4504687811689607,0.5169072164948454,0.4301295099959221,0.548212992603462,0.5169072164948454,0.4767727272727273,0.5169072164948454,0.5169072164948454,0.477293682520944,0.671713428647105,0.4298451905020131,0.9182344428364689,0.6731517509727627,0.7190226876090751,0.031578947368421054,0.7153024911032029,0.1634304207119741,0.10432190760059612,0.08102108768035517,0.4492099322799097,0.8982035928143712,0.4967532467532468,0.6345,0.692,0.206,0.18,0.402,0.505,0.35,0.365,0.398,0.9,0.612,0.7984642,0.9521966,202928512,3246856192,141.32090830802917,102155
16,0.4575257731958763,0.39558066005897197,0.45752577319587634,0.39584676940240154,0.5032596845186853,0.4575257731958763,0.4641818181818182,0.4575257731958763,0.4575257731958763,0.4715875724070209,0.6918412017791307,0.3878163492135865,0.94377990430622,0.5690184049079755,0.7819253438113949,0.03655913978494624,0.6980802792321117,0.12962962962962962,0.06535362578334826,0.09243697478991597,0.38841567291311757,0.9430167597765363,0.5392475615420343,0.3945,0.742,0.199,0.51,0.4,0.56,0.365,0.055,0.456,0.844,0.5805,0.84951276,0.95452887,202928512,3449784704,132.45392847061157,102155
17,0.5324742268041237,0.46612805547768066,0.5324742268041237,0.4234019735888744,0.5642998460469262,0.5324742268041237,0.4705454545454545,0.5324742268041237,0.5324742268041237,0.4665883637553931,0.6543757410242996,0.42566004451056055,0.9022556390977443,0.8011204481792717,0.6846846846846847,0.04697986577181208,0.7442922374429224,0.2118380062305296,0.10727496917385944,0.11486486486486487,0.3161592505854801,0.6268656716417911,0.5761363636363637,0.72,0.572,0.38,0.49,0.326,0.34,0.435,0.17,0.27,0.966,0.507,0.9200299,0.9583016,202928512,3652713216,139.66232633590698,102155
18,0.5124742268041237,0.45167213146107854,0.5124742268041237,0.43388578092355296,0.5605120587724967,0.5124742268041237,0.492,0.5124742268041237,0.5124742268041237,0.48554161675705976,0.6908869598158115,0.4347715564556092,0.9656786271450858,0.7439613526570048,0.7282913165266106,0.03336510962821735,0.6804281345565749,0.11775528978840846,0.11217183770883055,0.10989010989010989,0.4166666666666667,0.8838771593090211,0.5488721804511278,0.619,0.616,0.26,0.35,0.445,0.64,0.47,0.1,0.48,0.921,0.511,0.9093575,0.90368766,202928512,3855641728,131.45910024642944,102155
