epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_fodder,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,recall_barley,recall_wheat,recall_fodder,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.09256777651788475,0.05817485752807905,0.09256777651788475,0.07706215929617266,0.059798041603617826,0.09256777651788475,0.21189728569688626,0.09256777651788475,0.09256777651788475,0.20323972524138031,0.2912960215935586,0.0,0.3902439024390244,0.16666666666666666,0.46296296296296297,0.0,0.6486486486486487,0.04656862745098039,0.038524590163934426,0.047082494969818915,0.14685314685314685,0.2880859375,0.0,0.008,0.002004008016032064,0.0125,0.0,0.024024024024024024,0.472636815920398,0.47,0.585,0.462,0.2947052947052947,0.0,2.8713794,2.3355176,544702848,544702848,280.24927616119385,102155
1,0.3017214720131945,0.2305709384472664,0.3017214720131945,0.24650605276199047,0.3197136944610879,0.3017214720131945,0.3138010521694967,0.3017214720131945,0.3017214720131945,0.33470023240213154,0.5017706600432599,0.25667323895894617,0.7048192771084337,0.45161290322580644,0.5116279069767442,0.02771362586605081,0.5602836879432624,0.08809293320425944,0.04878048780487805,0.06064880112834979,0.18493150684931506,0.572107765451664,0.4710836608646828,0.117,0.0841683366733467,0.165,0.1188118811881188,0.3163163163163163,0.4527363184079602,0.41,0.215,0.432,0.7212787212787213,0.4195,2.2735014,2.121959,544702848,1089405696,286.19612765312195,102155
2,0.3303783115142769,0.27114327358155144,0.3303783115142769,0.3070375817111,0.3660073920735431,0.3303783115142769,0.38040687923262423,0.3303783115142769,0.3303783115142769,0.41330570755653606,0.6130972842509824,0.2996729907823292,0.8752556237218814,0.6045197740112994,0.6708860759493671,0.01953125,0.5436766623207301,0.0720360180090045,0.06080206985769728,0.06486486486486487,0.2540983606557377,0.9203539823008849,0.46033810143042914,0.214,0.4288577154308617,0.0795,0.09900990099009901,0.4174174174174174,0.7164179104477612,0.47,0.12,0.558,0.7272727272727273,0.354,2.046983,2.002089,544702848,1634108544,281.82401943206787,102155
3,0.48654777857952786,0.4184617125798836,0.48654777857952786,0.3931663467007855,0.5018579951455571,0.48654777857952786,0.4451991440054195,0.48654777857952786,0.48654777857952786,0.4638497832004045,0.6454241782566149,0.3623082825886414,0.7658026375625284,0.6601178781925344,0.7730061349693251,0.031136481577581733,0.7024793388429752,0.1571969696969697,0.12162162162162163,0.09215017064846416,0.45321637426900585,0.8437209302325581,0.5018990775908845,0.842,0.6733466933867736,0.126,0.594059405940594,0.2552552552552553,0.4129353233830846,0.18,0.135,0.31,0.906093906093906,0.4625,1.906048,1.5416093,544702848,2178811392,282.2145848274231,102155
4,0.49139263993402743,0.429308171961319,0.49139263993402743,0.41028514976095837,0.5194600975483806,0.49139263993402743,0.4808909175863938,0.49139263993402743,0.49139263993402743,0.4757910180801815,0.6962149642926444,0.38987744717857636,0.9431563201196709,0.5796269727403156,0.8394648829431438,0.035277177825773935,0.7272727272727273,0.14477611940298507,0.08489388264669163,0.07222222222222222,0.4017991004497751,0.903353057199211,0.5018587360594795,0.6305,0.8096192384769539,0.1255,0.48514851485148514,0.36036036036036034,0.48258706467661694,0.34,0.065,0.536,0.9150849150849151,0.54,1.6519077,1.5211188,544702848,2723514240,288.8633599281311,102155
5,0.52644057313679,0.4677807163202671,0.52644057313679,0.43713367902051936,0.5757500409347179,0.52644057313679,0.5038542195244067,0.52644057313679,0.52644057313679,0.49205462390964455,0.7014538224130181,0.4203640623882007,0.9635237439779766,0.7034068136272545,0.7248255234297108,0.03766105054509415,0.684931506849315,0.10120311394196745,0.11894882434301521,0.1276595744680851,0.45166402535657685,0.9048991354466859,0.5938775510204082,0.7,0.7034068136272545,0.3635,0.37623762376237624,0.2502502502502503,0.7114427860696517,0.43,0.06,0.57,0.9410589410589411,0.4365,1.4740491,1.4238722,544702848,3268217088,285.7900960445404,102155
6,0.4637666219977322,0.41075169398985456,0.4637666219977322,0.4200922719308826,0.523318645320148,0.4637666219977322,0.4879791876169452,0.4637666219977322,0.4637666219977322,0.5122378832458225,0.7251428833781386,0.41682804474101975,0.9431524547803618,0.7229166666666667,0.831304347826087,0.026045487894350697,0.7568493150684932,0.1452599388379205,0.14285714285714285,0.0771513353115727,0.524896265560166,0.8986742424242424,0.5655095184770437,0.73,0.6953907815631263,0.239,0.7029702970297029,0.22122122122122123,0.472636815920398,0.47,0.13,0.506,0.948051948051948,0.2525,1.4773939,1.5019379,544702848,3812919936,291.96314573287964,102155
7,0.49685599422739923,0.4398013478320667,0.49685599422739923,0.4249427457878971,0.548349678140979,0.49685599422739923,0.4870507362335578,0.49685599422739923,0.49685599422739923,0.4980323011246142,0.7070353308541003,0.39967166428220724,0.9118522930315665,0.7186234817813765,0.8325652841781874,0.03287671232876712,0.7035175879396985,0.20875420875420875,0.1025390625,0.06532663316582915,0.5,0.825571549534293,0.5767284991568297,0.7655,0.7114228456913828,0.271,0.7128712871287128,0.2802802802802803,0.30845771144278605,0.525,0.065,0.402,0.974025974025974,0.342,1.4400319,1.45717,544702848,4357622784,285.26281237602234,102155
8,0.5539635089166065,0.4971949508948411,0.5539635089166065,0.4758102481073475,0.6034050987188215,0.5539635089166065,0.5480094611594155,0.5539635089166065,0.5539635089166065,0.5199899540134175,0.7162145335045785,0.5177336706213541,0.9528828270303782,0.7545871559633027,0.7803958529688972,0.04666666666666667,0.6836734693877551,0.16139240506329114,0.16689466484268126,0.09228441754916793,0.6301703163017032,0.8849315068493151,0.5660102115244348,0.7685,0.6593186372745491,0.414,0.5544554455445545,0.3353353353353353,0.5074626865671642,0.61,0.305,0.518,0.968031968031968,0.388,1.4655776,1.3411964,544702848,4902325632,282.9862627983093,102155
9,0.5164416039583548,0.46048863350000213,0.5164416039583548,0.45771515921440736,0.577519064713507,0.5164416039583548,0.5220279837579118,0.5164416039583548,0.5164416039583548,0.5211703410830226,0.717811869126626,0.4821093808014676,0.9657027572293208,0.7741176470588236,0.7729566094853683,0.03755605381165919,0.6637362637362637,0.2072072072072072,0.14744351961950058,0.07161458333333333,0.6370757180156658,0.8827838827838828,0.5726795096322241,0.718,0.6593186372745491,0.383,0.6633663366336634,0.3023023023023023,0.34328358208955223,0.62,0.275,0.488,0.9630369630369631,0.327,1.3145599,1.3999316,544702848,5447028480,290.9204366207123,102155
10,0.5056179775280899,0.4502530873078425,0.5056179775280899,0.4453005125883646,0.5744880470681735,0.5056179775280899,0.5109508084781987,0.5056179775280899,0.5056179775280899,0.5406905521557631,0.7477878679886846,0.46221006293662736,0.9852369852369852,0.9071729957805907,0.7512155591572123,0.032764190124596214,0.7568493150684932,0.18859649122807018,0.1336842105263158,0.09595959595959595,0.5273972602739726,0.9165867689357622,0.6521327014218009,0.634,0.4308617234468938,0.4635,0.7029702970297029,0.22122122122122123,0.42786069651741293,0.635,0.19,0.616,0.955044955044955,0.344,1.3814313,1.4387454,544702848,5991731328,282.56766414642334,102155
11,0.486135449953613,0.43129795652219516,0.486135449953613,0.4372432014823166,0.5429300745452771,0.486135449953613,0.4964017846784234,0.486135449953613,0.486135449953613,0.5267433718370514,0.7214093897273808,0.4124996932679105,0.9381884944920441,0.757085020242915,0.8685185185185185,0.0303508080409933,0.6905263157894737,0.2894736842105263,0.13872832369942195,0.05725971370143149,0.6279683377308707,0.8901200369344414,0.5059578368469294,0.7665,0.749498997995992,0.2345,0.7623762376237624,0.3283283283283283,0.16417910447761194,0.6,0.14,0.476,0.9630369630369631,0.276,1.4177432,1.4448239,544702848,6536434176,286.5898745059967,102155
12,0.5063395526234409,0.4497240144632596,0.5063395526234409,0.4518604400747794,0.5573070130463311,0.5063395526234409,0.5148493423463195,0.5063395526234409,0.5063395526234409,0.5310118821924068,0.7115609411535591,0.4637622775179145,0.9384164222873901,0.7534791252485089,0.8488549618320611,0.04146634615384615,0.6460674157303371,0.3161290322580645,0.15325077399380804,0.06431372549019608,0.7360594795539034,0.8594164456233422,0.4836769759450172,0.8,0.7595190380761523,0.278,0.6831683168316832,0.34534534534534533,0.24378109452736318,0.495,0.41,0.396,0.971028971028971,0.2815,1.4000529,1.3674829,544702848,7081137024,281.61027908325195,102155
13,0.5155138645500464,0.45946415669546636,0.5155138645500464,0.44749423238722663,0.5646070889914802,0.5155138645500464,0.5143602546064493,0.5155138645500464,0.5155138645500464,0.5352981809284462,0.7199256071821587,0.4300972448058089,0.9032429558745348,0.7945492662473794,0.8044397463002114,0.03763696998570748,0.6368715083798883,0.27692307692307694,0.1435257410296412,0.07407407407407407,0.6987012987012987,0.954,0.5643153526970954,0.8495,0.7595190380761523,0.3805,0.7821782178217822,0.11411411411411411,0.1791044776119403,0.46,0.37,0.538,0.9530469530469531,0.272,1.3176897,1.3683262,544702848,7625839872,287.72942638397217,102155
14,0.5290176270487579,0.4727266883130423,0.5290176270487579,0.4683996645023302,0.580255284788721,0.5290176270487579,0.537143965776628,0.5290176270487579,0.5290176270487579,0.5242489131491044,0.7235855989836615,0.49428427520168294,0.9546302050963331,0.7232824427480916,0.8659638554216867,0.04291044776119403,0.6518518518518519,0.2099737532808399,0.1466275659824047,0.06985769728331177,0.6764705882352942,0.9131255901794145,0.5120440467997247,0.768,0.7595190380761523,0.2875,0.6831683168316832,0.35235235235235235,0.39800995024875624,0.5,0.27,0.552,0.9660339660339661,0.372,1.3175985,1.3567815,544702848,8170542720,291.4891061782837,102155
