epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_fodder,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,recall_barley,recall_wheat,recall_fodder,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.19822698690856613,0.1338262901654994,0.19822698690856616,0.16621123974252638,0.22337467054253934,0.19822698690856613,0.23634571376676305,0.19822698690856613,0.19822698690856613,0.2847580536653263,0.4398587875280782,0.16853513881629734,0.5029880478087649,0.14453665283540804,0.4926829268292683,0.01661631419939577,0.3782857142857143,0.0888468809073724,0.04035874439461883,0.04970286331712588,0.17777777777777778,0.782608695652174,0.4579339723109691,0.2525,0.4188376753507014,0.0505,0.10891089108910891,0.33133133133133136,0.23383084577114427,0.405,0.46,0.016,0.10789210789210789,0.215,2.516405,1.8820757,544702848,544702848,297.4288308620453,102155
1,0.38088856818884653,0.30526392001968594,0.38088856818884653,0.3026619603140512,0.4156055480503822,0.38088856818884653,0.3533549822367598,0.38088856818884653,0.38088856818884653,0.3537765287026068,0.5256409891312862,0.31852153140702083,0.6702334630350194,0.37694704049844235,0.5504652827487473,0.032314410480349345,0.6532663316582915,0.11514195583596215,0.06377759607522486,0.08231707317073171,0.2638522427440633,0.5374064837905237,0.5458199356913184,0.3445,0.24248496993987975,0.3845,0.36633663366336633,0.2602602602602603,0.36318407960199006,0.39,0.135,0.2,0.8611388611388612,0.3395,1.8745565,1.5461458,544702848,1089405696,269.08963108062744,102155
2,0.41779198020822594,0.35396032812502487,0.417791980208226,0.3684126826328986,0.476018849927677,0.41779198020822594,0.42167788749415647,0.41779198020822594,0.41779198020822594,0.44682101042835587,0.6350705489066667,0.36099462069754734,0.8060654429369514,0.6153846153846154,0.6550680786686838,0.032443746729461015,0.7718309859154929,0.1360544217687075,0.06298600311041991,0.0603448275862069,0.3775280898876405,0.8791666666666667,0.5181582360570688,0.505,0.5771543086172345,0.2165,0.6138613861386139,0.27427427427427425,0.39800995024875624,0.405,0.07,0.336,0.8431568431568431,0.3995,1.5637348,1.4104897,544702848,1634108544,266.4779727458954,102155
3,0.48768168230079373,0.4221501581393612,0.48768168230079373,0.4056010964842897,0.5194750020727691,0.48768168230079373,0.4682265073073191,0.48768168230079373,0.48768168230079373,0.49462361826940177,0.6933918786103337,0.38918207489573,0.9268833087149188,0.7901234567901234,0.7518427518427518,0.03166986564299424,0.8160237388724035,0.12011439466158245,0.10467479674796748,0.10067114093959731,0.4119448698315467,0.8894324853228963,0.49747899159663866,0.6275,0.5130260521042084,0.153,0.32673267326732675,0.2752752752752753,0.6268656716417911,0.515,0.075,0.538,0.9080919080919081,0.592,1.4518502,1.2350903,544702848,2178811392,262.75182247161865,102155
4,0.48541387485826204,0.4249445213165891,0.48541387485826204,0.4160607397371395,0.528798399282484,0.48541387485826204,0.47106615385504325,0.48541387485826204,0.48541387485826204,0.5095660993892296,0.6999204525883191,0.36188789086214584,0.86768581971534,0.8109452736318408,0.8063063063063063,0.02815829528158295,0.6925675675675675,0.15716486902927582,0.16136919315403422,0.0761904761904762,0.5482954545454546,0.9246987951807228,0.5318450426789232,0.823,0.6533066132264529,0.179,0.7326732673267327,0.20520520520520522,0.5074626865671642,0.33,0.04,0.386,0.9200799200799201,0.405,1.2413449,1.2093163,544702848,2723514240,264.9501073360443,102155
5,0.5241727656942583,0.46332474729299067,0.5241727656942583,0.4423939331238889,0.5741198193804959,0.5241727656942583,0.49864223906256017,0.5241727656942583,0.5241727656942583,0.5271037400108404,0.7232979753247984,0.45420919480917604,0.9370988446726572,0.871244635193133,0.773841961852861,0.035381750465549346,0.8243243243243243,0.15789473684210525,0.1325,0.11643835616438356,0.4962962962962963,0.9038095238095238,0.5493107104984093,0.73,0.40681362725450904,0.284,0.5643564356435643,0.3053053053053053,0.4925373134328358,0.53,0.17,0.536,0.948051948051948,0.518,1.1935536,1.1196347,544702848,3268217088,269.54693245887756,102155
6,0.4591279249561901,0.4028001471730087,0.4591279249561901,0.40028763934665235,0.5168353078874411,0.4591279249561901,0.46299393530471955,0.4591279249561901,0.4591279249561901,0.530047816277304,0.7264895394425417,0.3374588687326661,0.9166666666666666,0.8582089552238806,0.8506151142355008,0.027436140018921477,0.7039106145251397,0.28,0.1350210970464135,0.11475409836065574,0.5010266940451745,0.8644986449864499,0.5783879539415412,0.748,0.46092184368737477,0.242,0.8613861386138614,0.12612612612612611,0.208955223880597,0.64,0.035,0.488,0.9560439560439561,0.3265,1.1288824,1.209395,544702848,3812919936,264.4448974132538,102155
7,0.5027316771466859,0.44775442658215614,0.5027316771466859,0.443253032971942,0.5695343693123971,0.5027316771466859,0.5046567149315243,0.5027316771466859,0.5027316771466859,0.5249783793519243,0.7289864429652995,0.4108130883485507,0.9581646423751687,0.8210227272727273,0.7865168539325843,0.029057700290577002,0.6867469879518072,0.17777777777777778,0.14099783080260303,0.08080808080808081,0.6068376068376068,0.8742023701002735,0.6126295947219604,0.71,0.5791583166332666,0.35,0.693069306930693,0.34234234234234234,0.47761194029850745,0.65,0.04,0.426,0.958041958041958,0.325,1.1460525,1.1128325,544702848,4357622784,268.3459289073944,102155
8,0.4928357901247294,0.4373720708618386,0.4928357901247294,0.43740664450774286,0.5647129728061168,0.4928357901247294,0.5043702956420604,0.4928357901247294,0.4928357901247294,0.5345482267431731,0.7410596366631933,0.4235502871463874,0.9780635400907716,0.889967637540453,0.7920353982300885,0.03201422854602046,0.7099447513812155,0.14192708333333334,0.1309164149043303,0.08053691275167785,0.6091644204851752,0.914975845410628,0.6004842615012107,0.6465,0.5511022044088176,0.358,0.7128712871287128,0.25725725725725723,0.5422885572139303,0.65,0.06,0.452,0.9460539460539461,0.372,1.080194,1.1591755,544702848,4902325632,268.7850909233093,102155
9,0.5029378414596434,0.44963593880735553,0.5029378414596434,0.4590548572951729,0.5673744005958434,0.5029378414596434,0.5314063576872403,0.5029378414596434,0.5029378414596434,0.5254638640855016,0.7341395570074245,0.4721288548654634,0.9779874213836478,0.7807017543859649,0.835243553008596,0.03655352480417755,0.6423927178153446,0.1966824644549763,0.11541701769165964,0.06906077348066299,0.6308068459657702,0.922854387656702,0.5724020442930153,0.622,0.7134268537074149,0.2915,0.693069306930693,0.4944944944944945,0.4129353233830846,0.685,0.125,0.516,0.9560439560439561,0.336,1.1018367,1.1440897,544702848,5447028480,260.3394412994385,102155
