epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_fodder,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,recall_barley,recall_wheat,recall_fodder,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.1424595402535821,0.07722506547230157,0.1424595402535821,0.10157576910596594,0.1309882691426713,0.1424595402535821,0.17494507708279758,0.1424595402535821,0.1424595402535821,0.12763989470560205,0.1693780719390166,0.0,0.0,0.0,0.08333333333333333,0.0,0.335149863760218,0.07936507936507936,0.03225139549307422,0.03800475059382423,0.21897810218978103,0.23198198198198197,0.3849743350443304,0.0,0.0,0.001,0.0,0.12312312312312312,0.024875621890547265,0.78,0.24,0.24,0.1028971028971029,0.4125,2.657309,2.182057,544702848,544702848,1085.648672580719,102155
1,0.25688073394495414,0.19756034371943965,0.25688073394495414,0.21604163888918304,0.2632147608795857,0.25688073394495414,0.308929846897105,0.25688073394495414,0.25688073394495414,0.3135811431519007,0.4829685248441765,0.23813756674470543,0.6078431372549019,0.20033575825405708,0.555366269165247,0.029948867786705625,0.7431192660550459,0.09798994974874371,0.026785714285714284,0.05503258508327299,0.21138211382113822,0.47191011235955055,0.44967880085653106,0.1705,0.717434869739479,0.163,0.40594059405940597,0.16216216216216217,0.19402985074626866,0.105,0.38,0.156,0.8391608391608392,0.105,2.1711931,1.8825079,544702848,1089405696,287.2813723087311,102155
2,0.43078033192454385,0.358223993103327,0.43078033192454385,0.335584375690498,0.45235354074010087,0.43078033192454385,0.39098871061952845,0.43078033192454385,0.43078033192454385,0.43101666922505066,0.6070076656674104,0.27485700727662893,0.7497041420118343,0.5017921146953405,0.6023489932885906,0.02857142857142857,0.8823529411764706,0.11398963730569948,0.07788944723618091,0.06837606837606838,0.4105263157894737,0.8197879858657244,0.4858442871587462,0.6335,0.561122244488978,0.1795,0.6237623762376238,0.06006006006006006,0.3283582089552239,0.155,0.04,0.312,0.9270729270729271,0.4805,1.8595951,1.5201501,544702848,1634108544,286.07503294944763,102155
3,0.45438614575816927,0.3891825990544827,0.45438614575816927,0.36763980821424325,0.4827649133926231,0.45438614575816927,0.43847821499394707,0.45438614575816927,0.45438614575816927,0.4840737640196394,0.6828862359341753,0.3327537647315467,0.9455488331892826,0.7809187279151943,0.7251585623678647,0.0270042194092827,0.8540540540540541,0.0997643362136685,0.10631741140215717,0.1891891891891892,0.29322033898305083,0.7961730449251248,0.5074626865671642,0.547,0.44288577154308617,0.1715,0.31683168316831684,0.15815815815815815,0.6318407960199005,0.345,0.035,0.692,0.9560439560439561,0.527,1.6579148,1.43886,544702848,2178811392,286.1441683769226,102155
4,0.45778785692196683,0.39653707687606843,0.45778785692196683,0.392551433979748,0.5074866597550733,0.45778785692196683,0.44978216961584894,0.45778785692196683,0.45778785692196683,0.48999734541130363,0.6933581393154552,0.3017582154194504,0.9469638739431206,0.71875,0.751503006012024,0.027661993179234557,0.6903553299492385,0.18972332015810275,0.10303030303030303,0.06896551724137931,0.4192139737991266,0.9524815205913411,0.5213219616204691,0.616,0.6452905811623246,0.1875,0.7227722772277227,0.13613613613613615,0.23880597014925373,0.425,0.01,0.576,0.9010989010989011,0.489,1.5436451,1.3943405,544702848,2723514240,286.93224692344666,102155
5,0.46799299041335946,0.4156311940615909,0.46799299041335946,0.41324786017525406,0.5197282759437193,0.46799299041335946,0.5020025595846683,0.46799299041335946,0.46799299041335946,0.4850138236759147,0.7114819534861535,0.4047478092597678,0.9510146955913226,0.5889830508474576,0.8255813953488372,0.03144016227180527,0.6872509960159362,0.10987261146496816,0.1046875,0.07017543859649122,0.44785276073619634,0.9532710280373832,0.5650224215246636,0.6795,0.8356713426853707,0.213,0.6138613861386139,0.34534534534534533,0.6865671641791045,0.335,0.06,0.584,0.9170829170829171,0.252,1.4267153,1.373002,544702848,3268217088,283.78537368774414,102155
6,0.5303576950829811,0.4730567384561972,0.5303576950829811,0.44257357807198594,0.5804455668958013,0.5303576950829811,0.5212052243700781,0.5303576950829811,0.5303576950829811,0.501321005151468,0.7094765016853466,0.4091899551778348,0.9460338101430429,0.7611940298507462,0.7144168962350781,0.04188790560471976,0.7878787878787878,0.1793372319688109,0.12849740932642487,0.09090909090909091,0.38760806916426516,0.8375325803649001,0.6392352452202826,0.7275,0.6132264529058116,0.389,0.7029702970297029,0.3123123123123123,0.4577114427860697,0.62,0.025,0.538,0.9630369630369631,0.3845,1.3532956,1.201849,544702848,3812919936,279.967835187912,102155
7,0.5014946912689413,0.4444030417613327,0.5014946912689413,0.4482541953243752,0.5555546612469962,0.5014946912689413,0.507227632312203,0.5014946912689413,0.5014946912689413,0.5313838478444293,0.7321081545111159,0.4476831594563676,0.935179358086847,0.6896551724137931,0.8683035714285714,0.03431372549019608,0.7360308285163777,0.25663716814159293,0.125,0.08571428571428572,0.6366559485530546,0.9561586638830898,0.5215736040609137,0.743,0.8016032064128257,0.1945,0.7623762376237624,0.38238238238238237,0.2885572139303483,0.475,0.21,0.396,0.9150849150849151,0.411,1.3250135,1.3168409,544702848,4357622784,287.5268814563751,102155
8,0.52644057313679,0.4703389712668028,0.52644057313679,0.45915054461511834,0.5871422192984458,0.52644057313679,0.5306654299829184,0.52644057313679,0.52644057313679,0.5272183554834879,0.7374044663352636,0.472562994545528,0.9604166666666667,0.7361702127659574,0.7947548460661346,0.04011142061281337,0.7890410958904109,0.18661257606490872,0.11764705882352941,0.1016260162601626,0.5359342915811088,0.9408817635270541,0.5962059620596206,0.6915,0.6933867735470942,0.3485,0.7128712871287128,0.2882882882882883,0.4577114427860697,0.62,0.125,0.522,0.938061938061938,0.44,1.3250219,1.2458439,544702848,4902325632,283.7776176929474,102155
9,0.5032470879290795,0.4462487913781954,0.5032470879290795,0.42312365539868824,0.5516726392661883,0.5032470879290795,0.516216386723518,0.5032470879290795,0.5032470879290795,0.48908767247273716,0.7155292334677336,0.4251354603288452,0.9852941176470589,0.4774193548387097,0.738544474393531,0.04890738813735692,0.7763578274760383,0.10514865844815083,0.08807588075880758,0.14285714285714285,0.43132803632236094,0.9811111111111112,0.6049204052098408,0.5025,0.8897795591182365,0.411,0.46534653465346537,0.24324324324324326,0.7213930348258707,0.325,0.06,0.76,0.8821178821178821,0.418,1.2161244,1.3136336,544702848,5447028480,286.19080352783203,102155
10,0.5062364704669622,0.45332706360907415,0.5062364704669622,0.4554855683012335,0.5695532023691608,0.5062364704669622,0.5328997576418169,0.5062364704669622,0.5062364704669622,0.5191924519160971,0.7368116817407628,0.4848318331442029,0.9508896797153025,0.6494156928213689,0.8296398891966759,0.03792207792207792,0.7425044091710759,0.20810810810810812,0.10641891891891891,0.10471204188481675,0.521551724137931,0.9485887096774194,0.611365719523373,0.668,0.779559118236473,0.2995,0.7227722772277227,0.4214214214214214,0.38308457711442784,0.63,0.2,0.484,0.9400599400599401,0.3335,1.35298,1.2684104,544702848,5991731328,283.6011815071106,102155
11,0.537573446036491,0.4844354635992747,0.537573446036491,0.47704950917757144,0.6017621801532816,0.537573446036491,0.541634005955792,0.537573446036491,0.537573446036491,0.5346538894965503,0.7402733264886839,0.46148740124600185,0.9702702702702702,0.7568710359408034,0.7594202898550725,0.03305785123966942,0.7235915492957746,0.17318435754189945,0.14774281805745554,0.13978494623655913,0.5685279187817259,0.9769150052465897,0.6318267419962336,0.718,0.717434869739479,0.393,0.7128712871287128,0.4114114114114114,0.4626865671641791,0.54,0.065,0.672,0.9300699300699301,0.3355,1.2004623,1.1972029,544702848,6536434176,276.58918738365173,102155
12,0.508091949283579,0.45568798998760274,0.508091949283579,0.4526846396560631,0.5711354028297302,0.508091949283579,0.5364562484540953,0.508091949283579,0.508091949283579,0.5177219657422621,0.7444438200120949,0.4739612213241382,0.9905498281786942,0.6555023923444976,0.7884210526315789,0.033983286908077996,0.765,0.1299126637554585,0.11713933415536375,0.1218274111675127,0.4732142857142857,0.9811320754716981,0.6382592928377153,0.5765,0.8236472945891784,0.3745,0.6039603960396039,0.3063063063063063,0.5920398009950248,0.475,0.12,0.742,0.935064935064935,0.352,1.2072617,1.2732047,544702848,7081137024,272.97696590423584,102155
