epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_fodder,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,recall_barley,recall_wheat,recall_fodder,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.08164106793114112,0.04526189577370732,0.08164106793114112,0.06127820728128328,0.05165663751177313,0.08164106793114112,0.18316093366093364,0.08164106793114112,0.08164106793114112,0.13678922946766162,0.24789210190307495,0.0,0.5,0.0,0.33663366336633666,0.0,0.22998296422487224,0.0,0.03273809523809524,0.04171597633136095,0.16022099447513813,0.0,0.2033898305084746,0.0055,0.0,0.017,0.0,0.2702702702702703,0.0,0.605,0.705,0.406,0.0,0.006,2.6247725,2.1475434,576744192,576744192,299.1087725162506,102155
1,0.31038037315740646,0.23602378593034679,0.31038037315740646,0.24186437681789386,0.3245854389953185,0.31038037315740646,0.31732048988561395,0.31038037315740646,0.31038037315740646,0.3251636754124665,0.4870369550773576,0.26412299618896545,0.5509404388714734,0.32532751091703055,0.5639445300462249,0.029927007299270073,0.7602739726027398,0.1025260029717682,0.061394380853277836,0.06728232189973615,0.1935483870967742,0.416704910509408,0.504930966469428,0.3515,0.2985971943887776,0.183,0.40594059405940597,0.1111111111111111,0.34328358208955223,0.295,0.255,0.084,0.9070929070929071,0.256,2.13305,1.7528096,576744192,1153488384,283.95057106018066,102155
2,0.4331512215235543,0.3620519274180115,0.4331512215235543,0.36328109798581604,0.479624939197557,0.4331512215235543,0.4018272593546264,0.4331512215235543,0.4331512215235543,0.4409326680459726,0.6028499046261181,0.3388138713320569,0.6611990950226244,0.6120689655172413,0.6361149110807114,0.03544882790165809,0.7308707124010554,0.21428571428571427,0.0654627539503386,0.08680555555555555,0.38534278959810875,0.8979381443298969,0.5247218788627935,0.5845,0.42685370741482964,0.2325,0.6138613861386139,0.2772772772772773,0.1044776119402985,0.435,0.125,0.326,0.8701298701298701,0.4245,1.812813,1.5091281,576744192,1730232576,282.81399297714233,102155
3,0.4651066900319555,0.4028555417813843,0.4651066900319555,0.4042041655124851,0.5027921745618539,0.4651066900319555,0.46348947484445174,0.4651066900319555,0.4651066900319555,0.4735238886912592,0.6651504383373346,0.40565884711381095,0.8819308545335942,0.7540106951871658,0.7391304347826086,0.03290676416819013,0.7140077821011673,0.1615720524017467,0.09619952494061758,0.06704980842911877,0.37027027027027026,0.9169139465875371,0.47477064220183485,0.676,0.5651302605210421,0.119,0.5346534653465347,0.36736736736736736,0.3681592039800995,0.405,0.175,0.548,0.926073926073926,0.414,1.6736434,1.382192,576744192,2306976768,290.06570768356323,102155
4,0.5349963921245232,0.47213287302406326,0.5349963921245232,0.44315014198207153,0.5758853757542655,0.5349963921245232,0.48091747928887735,0.5349963921245232,0.5349963921245232,0.4983953045554834,0.6778835473991387,0.4216122860656187,0.8162243365047571,0.763855421686747,0.7199582027168234,0.036521739130434785,0.7682926829268293,0.25984251968503935,0.1368421052631579,0.08785046728971962,0.41590214067278286,0.9087378640776699,0.5683208701563562,0.815,0.6352705410821643,0.3445,0.6237623762376238,0.3153153153153153,0.16417910447761194,0.26,0.235,0.544,0.935064935064935,0.418,1.4433475,1.2369765,576744192,2883720960,284.30659532546997,102155
5,0.5000515410782393,0.44072629594947377,0.5000515410782393,0.43155499794767177,0.5383614740620046,0.5000515410782393,0.5010338197030708,0.5000515410782393,0.5000515410782393,0.5078419513228728,0.6974231382635705,0.444685802528153,0.8784292630446476,0.86084142394822,0.8093525179856115,0.03569580962234868,0.7842565597667639,0.2012012012012012,0.1686541737649063,0.08782435129740519,0.3680555555555556,0.8870523415977961,0.5048982667671439,0.8165,0.533066132264529,0.225,0.6831683168316832,0.26926926926926925,0.3333333333333333,0.495,0.22,0.636,0.965034965034965,0.335,1.4164524,1.2415022,576744192,3460465152,294.6160819530487,102155
6,0.5870528811462736,0.5252827668712208,0.5870528811462736,0.4747636020324497,0.6175137805885555,0.5870528811462736,0.5185703488609362,0.5870528811462736,0.5870528811462736,0.5216731441828998,0.7016483666780259,0.4507858466228439,0.8980139559849705,0.8553846153846154,0.7245409015025042,0.04201680672268908,0.7514970059880239,0.22564102564102564,0.19058823529411764,0.12258064516129032,0.45272206303724927,0.9063386944181646,0.5690806368772471,0.8365,0.5571142284569138,0.434,0.5445544554455446,0.25125125125125125,0.43781094527363185,0.405,0.095,0.632,0.957042957042957,0.554,1.3518543,1.1326865,576744192,4037209344,281.55203008651733,102155
7,0.5440676218946501,0.4836323300010714,0.5440676218946501,0.46349150495138114,0.5775813777189307,0.5440676218946501,0.5160179031197738,0.5440676218946501,0.5440676218946501,0.5192929218067625,0.692118682165053,0.47770623091687564,0.8254410399257196,0.8855218855218855,0.8132183908045977,0.04323899371069182,0.6671686746987951,0.2679425837320574,0.17657657657657658,0.08026030368763558,0.5278884462151394,0.8958139534883721,0.5291512915129152,0.889,0.5270541082164328,0.283,0.5445544554455446,0.44344344344344344,0.27860696517412936,0.49,0.37,0.53,0.962037962037962,0.3585,1.361776,1.1808144,576744192,4613953536,285.45399475097656,102155
8,0.5116998247603339,0.45370676275214084,0.5116998247603339,0.4557152221982909,0.5517098803719849,0.5116998247603339,0.5217166215984029,0.5116998247603339,0.5116998247603339,0.5327650989089303,0.7289836133970737,0.4620334001558821,0.9216937354988399,0.8373333333333334,0.8714285714285714,0.03305377405032067,0.7549668874172185,0.2052505966587112,0.1890909090909091,0.08588957055214724,0.5032154340836013,0.9555555555555556,0.5029377203290247,0.7945,0.6292585170340681,0.1525,0.6633663366336634,0.34234234234234234,0.42786069651741293,0.52,0.21,0.626,0.945054945054945,0.428,1.2758919,1.2339911,576744192,5190697728,294.51397037506104,102155
9,0.5691165859189774,0.5109867110776394,0.5691165859189774,0.48974999142242304,0.6106756708296018,0.5691165859189774,0.5435849335713229,0.5691165859189774,0.5691165859189774,0.5263391465940841,0.7126072733918989,0.5097201019221035,0.9275608375778155,0.8009153318077803,0.8186046511627907,0.04410646387832699,0.6696269982238011,0.2042755344418052,0.2619718309859155,0.08034433285509325,0.5746421267893661,0.8654708520179372,0.5422116527942925,0.8195,0.7014028056112225,0.352,0.5742574257425742,0.37737737737737737,0.42786069651741293,0.465,0.28,0.562,0.964035964035964,0.456,1.3079364,1.1615359,576744192,5767441920,277.7561197280884,102155
