epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_fodder,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,recall_barley,recall_wheat,recall_fodder,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.07988867127100299,0.04602297061763638,0.07988867127100299,0.06924933059847688,0.06414278830590305,0.07988867127100299,0.1866435178548251,0.07988867127100299,0.07988867127100299,0.17740475098694103,0.22320457589448078,0.0,0.0,0.16237942122186494,0.39316239316239315,0.0,0.38388625592417064,0.048265460030165915,0.031099873577749685,0.04376996805111821,0.0,0.8888888888888888,0.0,0.0,0.40480961923847697,0.092,0.0,0.08108108108108109,0.15920398009950248,0.615,0.685,0.0,0.015984015984015984,0.0,2.628157,2.125315,544702848,544702848,674.5337045192719,102155
1,0.32841975054118133,0.24773626121868286,0.32841975054118133,0.24935901013649522,0.3298240706802207,0.32841975054118133,0.3186329633454341,0.32841975054118133,0.32841975054118133,0.3088942493930574,0.46027919116180915,0.2526746497777232,0.485062893081761,0.2959830866807611,0.5253532834580216,0.026714158504007122,0.7198067632850241,0.10490463215258855,0.06227106227106227,0.08552631578947369,0.1969111969111969,0.3652173913043478,0.5300859598853869,0.3085,0.561122244488978,0.316,0.297029702970297,0.14914914914914915,0.38308457711442784,0.085,0.195,0.102,0.9230769230769231,0.185,2.0726256,1.7487087,544702848,1089405696,274.0966856479645,102155
2,0.4498505308731059,0.3797103828391686,0.4498505308731059,0.35400550360166827,0.4782137342798609,0.4498505308731059,0.41231991555393643,0.4498505308731059,0.4498505308731059,0.44029757513444834,0.6170173606572034,0.30277096547293764,0.6881258941344778,0.6117936117936118,0.603404255319149,0.033028455284552845,0.875,0.12089810017271158,0.07934131736526946,0.08196721311475409,0.35887850467289717,0.7985927880386984,0.5922431865828093,0.7215,0.49899799599198397,0.3545,0.6435643564356436,0.10510510510510511,0.3482587064676617,0.265,0.025,0.384,0.9070929070929071,0.2825,1.8224645,1.4711607,544702848,1634108544,266.1478431224823,102155
3,0.4894340789609319,0.4190173550735319,0.4894340789609319,0.395727110697552,0.5073908158808083,0.4894340789609319,0.4393201817171432,0.4894340789609319,0.4894340789609319,0.5083533774326325,0.6472508969229851,0.3591706256206997,0.6424285210024708,0.7344110854503464,0.6531738730450782,0.03823529411764706,0.8508771929824561,0.4528301886792453,0.10526315789473684,0.06930693069306931,0.575091575091575,0.8874878758486906,0.5827814569536424,0.91,0.6372745490981964,0.355,0.6435643564356436,0.1941941941941942,0.11940298507462686,0.21,0.315,0.314,0.9140859140859141,0.22,1.5715413,1.3138651,544702848,2178811392,265.3774859905243,102155
4,0.5507679620657664,0.486889626738382,0.5507679620657664,0.4489823890378773,0.5848188154666704,0.5507679620657664,0.5095644888743812,0.5507679620657664,0.5507679620657664,0.49808628451184833,0.6881294166003801,0.45273196197769966,0.9686800894854586,0.8415300546448088,0.5885311871227364,0.0535279805352798,0.7598566308243727,0.12911725955204217,0.14903129657228018,0.10822510822510822,0.3857315598548972,0.8838951310861424,0.6108228317272053,0.6495,0.6172344689378757,0.585,0.43564356435643564,0.2122122122122122,0.48756218905472637,0.5,0.125,0.638,0.9430569430569431,0.412,1.4946666,1.2117659,544702848,2723514240,292.13342928886414,102155
5,0.4562416245747861,0.4023643063902349,0.4562416245747861,0.4046271664281056,0.5067081817096435,0.4562416245747861,0.4758931688635253,0.4562416245747861,0.4562416245747861,0.4991435620211759,0.7048068431069647,0.3965195439785223,0.8940901111761264,0.7300613496932515,0.7900302114803626,0.028323262839879154,0.7734375,0.15098039215686274,0.11375,0.061224489795918366,0.5167464114832536,0.8591800356506238,0.5727554179566563,0.764,0.7154308617234469,0.2615,0.7425742574257426,0.1981981981981982,0.38308457711442784,0.455,0.135,0.432,0.9630369630369631,0.185,1.360189,1.3216828,544702848,3268217088,301.5821225643158,102155
6,0.4738686733326461,0.42143431005656473,0.4738686733326461,0.42755056421001675,0.5343182320646105,0.4738686733326461,0.4819158789160812,0.4738686733326461,0.4738686733326461,0.5067522371545906,0.7156794354598398,0.3796224117172235,0.9477658904971681,0.7401247401247402,0.7659279778393352,0.025210084033613446,0.6659090909090909,0.25,0.13731825525040386,0.057803468208092484,0.45,0.9053030303030303,0.6289120715350224,0.753,0.7134268537074149,0.2765,0.7722772277227723,0.2932932932932933,0.2935323383084577,0.425,0.05,0.558,0.955044955044955,0.211,1.3100436,1.3316182,544702848,3812919936,307.7597634792328,102155
7,0.5468508401195753,0.4872990375867611,0.5468508401195753,0.45296664714662865,0.5862564466223209,0.5468508401195753,0.5304890106032063,0.5468508401195753,0.5468508401195753,0.5163111889414451,0.7120802157368912,0.4762722944820066,0.9620418848167539,0.8390092879256966,0.6423728813559322,0.04831288343558282,0.775330396475771,0.16216216216216217,0.15571428571428572,0.0975609756097561,0.4576523031203566,0.8905380333951762,0.6487279843444227,0.735,0.5430861723446894,0.5685,0.6237623762376238,0.17617617617617617,0.5373134328358209,0.545,0.2,0.616,0.9590409590409591,0.3315,1.2920419,1.161345,544702848,4357622784,301.9316158294678,102155
8,0.529326873518194,0.4746365348045438,0.529326873518194,0.47049629954754296,0.5904685784456709,0.529326873518194,0.5312987876099758,0.529326873518194,0.529326873518194,0.5282043188004715,0.7237977098959736,0.4927370214013573,0.9465648854961832,0.8195488721804511,0.7620817843866171,0.037767756482525366,0.6882067851373183,0.2459016393442623,0.13528748590755355,0.0744047619047619,0.5754716981132075,0.9260700389105059,0.5989417989417989,0.744,0.655310621242485,0.41,0.6633663366336634,0.4264264264264264,0.373134328358209,0.6,0.25,0.488,0.951048951048951,0.283,1.2309875,1.2003307,544702848,4902325632,332.2858045101166,102155
9,0.5318008452736831,0.4768881913105816,0.5318008452736831,0.4688437578129561,0.5970374505717354,0.5318008452736831,0.5253285589762161,0.5318008452736831,0.5318008452736831,0.5404040619259479,0.7361297483992396,0.47558589335390944,0.9591576260370134,0.8717201166180758,0.7543859649122807,0.03522205206738132,0.722027972027972,0.18936170212765957,0.14891041162227603,0.06329113924050633,0.6737804878048781,0.917228103946102,0.6093591047812817,0.7515,0.5991983967935872,0.43,0.6831683168316832,0.4134134134134134,0.4427860696517413,0.615,0.15,0.442,0.952047952047952,0.2995,1.2104105,1.2024384,544702848,5447028480,336.06031680107117,102155
10,0.5338624884032575,0.47701936655521227,0.5338624884032575,0.4468378467922091,0.5831348592193708,0.5338624884032575,0.5161847165557435,0.5338624884032575,0.5338624884032575,0.5079476091955015,0.7165874836520575,0.4158983317533331,0.9752824858757062,0.8112244897959183,0.681265206812652,0.04100652376514446,0.5991379310344828,0.09203211859172329,0.1536050156739812,0.10526315789473684,0.5390334572490706,0.8887859128822985,0.7007874015748031,0.6905,0.6372745490981964,0.56,0.43564356435643564,0.2782782782782783,0.7412935323383084,0.49,0.04,0.58,0.958041958041958,0.267,1.2116721,1.2190022,544702848,5991731328,336.5303018093109,102155
11,0.46747757963096587,0.4171199331035591,0.46747757963096587,0.43798727836867374,0.5249571796720846,0.46747757963096587,0.5068173494979298,0.46747757963096587,0.46747757963096587,0.5397635612551187,0.7317209130484742,0.4173631919009543,0.9385150812064965,0.8815426997245179,0.8455882352941176,0.02857142857142857,0.6807387862796834,0.2175226586102719,0.1875,0.05218855218855219,0.6519607843137255,0.9177153920619555,0.5355555555555556,0.809,0.6412825651302605,0.2875,0.8811881188118812,0.25825825825825827,0.3582089552238806,0.585,0.155,0.532,0.9470529470529471,0.1205,1.2599345,1.3366622,544702848,6536434176,265.35807824134827,102155
12,0.5612823420265952,0.5070866598030215,0.5612823420265952,0.48946054921018284,0.6143525345420084,0.5612823420265952,0.5481619535639234,0.5612823420265952,0.5612823420265952,0.5287765673535357,0.7249558342289851,0.5033630047509505,0.9337209302325581,0.7413793103448276,0.7741094700260643,0.04096941719561454,0.6368876080691642,0.24305555555555555,0.1541038525963149,0.08056042031523643,0.6457399103139013,0.9448345035105316,0.6211812627291242,0.803,0.7755511022044088,0.4455,0.7029702970297029,0.44244244244244246,0.3482587064676617,0.46,0.23,0.576,0.9410589410589411,0.305,1.1918955,1.1466038,544702848,7081137024,268.97541785240173,102155
13,0.5011854447995052,0.4497264605989816,0.5011854447995052,0.4610963397184074,0.5558218816497538,0.5011854447995052,0.5310934333430855,0.5011854447995052,0.5011854447995052,0.5310428599045376,0.7205488968996026,0.47584476543842397,0.9642401021711366,0.7635983263598326,0.8401442307692307,0.036163522012578615,0.601010101010101,0.2529182879377432,0.16816816816816818,0.0600480384307446,0.7415384615384616,0.8992537313432836,0.5143884892086331,0.755,0.7314629258517034,0.3495,0.6831683168316832,0.47647647647647645,0.32338308457711445,0.56,0.375,0.482,0.9630369630369631,0.143,1.1220208,1.2488452,544702848,7625839872,277.20293259620667,102155
14,0.4996392124523245,0.4459791851877448,0.4996392124523245,0.4474460953666284,0.5614365473891492,0.4996392124523245,0.5121135063707816,0.4996392124523245,0.4996392124523245,0.534695322977721,0.732212013178319,0.4478826648087572,0.9554216867469879,0.8743016759776536,0.8302094818081588,0.032520325203252036,0.6054794520547945,0.17972350230414746,0.18890814558058924,0.06747404844290658,0.691131498470948,0.8592920353982301,0.5971867007672634,0.793,0.627254509018036,0.3765,0.8316831683168316,0.22122122122122123,0.3880597014925373,0.545,0.195,0.452,0.97002997002997,0.2335,1.1711589,1.2418699,544702848,8170542720,268.01879835128784,102155
15,0.5311823523348108,0.47861776313069937,0.5311823523348108,0.4793000492177674,0.5919721966786885,0.5311823523348108,0.5515092760490993,0.5311823523348108,0.5311823523348108,0.5390220636476034,0.7378543346056182,0.5120556233883058,0.9750656167979003,0.8168674698795181,0.7936073059360731,0.03755868544600939,0.6625659050966608,0.17495711835334476,0.2029520295202952,0.07651715039577836,0.6855036855036855,0.8947368421052632,0.6089108910891089,0.743,0.6793587174348698,0.4345,0.7128712871287128,0.37737737737737737,0.5074626865671642,0.55,0.29,0.558,0.968031968031968,0.246,1.211549,1.2183396,544702848,8715245568,266.3601064682007,102155
16,0.5463354293371817,0.4926802358400353,0.5463354293371817,0.4767633347000155,0.6022199991747611,0.5463354293371817,0.5588940330267801,0.5463354293371817,0.5463354293371817,0.518429190010491,0.7302291644855656,0.51121165133851,0.9848812095032398,0.8038793103448276,0.7906976744186046,0.05003971405877681,0.6085526315789473,0.11601731601731602,0.17102966841186737,0.08629441624365482,0.5576592082616179,0.9031954887218046,0.6304744525547445,0.684,0.7474949899799599,0.442,0.6237623762376238,0.37037037037037035,0.6666666666666666,0.49,0.17,0.648,0.9600399600399601,0.3455,1.0960886,1.1848601,544702848,9259948416,272.8410270214081,102155
