epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_fodder,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,recall_barley,recall_wheat,recall_fodder,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.10309278350515463,0.0,0.10309278350515463,0.01699235344095157,0.019269679159841985,0.10309278350515463,0.09090909090909091,0.10309278350515463,0.10309278350515463,0.00937207122774133,0.010628122010840683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10309278350515463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.6419394,2.400742,202928512,202928512,119.91315579414368,102155
1,0.10309278350515463,0.0,0.10309278350515463,0.01699235344095157,0.019269679159841985,0.10309278350515463,0.09090909090909091,0.10309278350515463,0.10309278350515463,0.00937207122774133,0.010628122010840683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10309278350515463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.4081163,2.3973374,202928512,405857024,117.97375965118408,102155
2,0.1868041237113402,0.10898288386695587,0.1868041237113402,0.12167261696376377,0.15888283722824334,0.1868041237113402,0.19240909090909095,0.1868041237113402,0.1868041237113402,0.11893693418387769,0.15262734694953256,0.0,0.0,0.0,0.0,0.05555555555555555,0.2594594594594595,0.044061302681992334,0.037130270610446825,0.05511811023622047,0.24504950495049505,0.1581805838424983,0.4537514886859865,0.0,0.0,0.0,0.01,0.144,0.23,0.59,0.14,0.198,0.233,0.5715,2.4022603,2.1397023,202928512,608785536,116.05723810195923,102155
3,0.15958762886597938,0.09478215078874463,0.15958762886597938,0.12991008789429392,0.18936745615610814,0.15958762886597938,0.20809090909090908,0.15958762886597938,0.15958762886597938,0.2453628565157195,0.3811029448971508,0.0,0.48082901554404145,0.1111111111111111,0.32413793103448274,0.009933774834437087,0.3820662768031189,0.08576642335766424,0.03868471953578337,0.047853162897410685,0.0,0.8235294117647058,0.3950795947901592,0.232,0.056,0.1175,0.03,0.196,0.235,0.5,0.73,0.0,0.056,0.1365,2.1663032,1.987548,202928512,811714048,115.46746325492859,102155
4,0.2565979381443299,0.18231734831534252,0.2565979381443299,0.21354615242190436,0.30475169108951494,0.2565979381443299,0.27372727272727276,0.2565979381443299,0.2565979381443299,0.30287358595373104,0.4572744882927976,0.21441939830855966,0.5234590616375345,0.19491525423728814,0.44208289054197664,0.043010752688172046,0.5300751879699248,0.0703883495145631,0.048513302034428794,0.06634499396863691,0.20052770448548812,0.6892523364485982,0.52303961196443,0.2845,0.092,0.208,0.04,0.141,0.58,0.62,0.275,0.152,0.295,0.3235,2.0137389,1.8810955,202928512,1014642560,111.95316100120544,102155
5,0.3445360824742268,0.26183474269436313,0.3445360824742268,0.25259182984559464,0.3539788583080697,0.3445360824742268,0.30568181818181817,0.3445360824742268,0.3445360824742268,0.2936815426463354,0.4531259809671928,0.23609907367605767,0.5139405204460966,0.24737945492662475,0.515625,0.03333333333333333,0.6068601583113457,0.08683473389355742,0.043795620437956206,0.07857142857142857,0.1650485436893204,0.40027322404371585,0.5388349514563107,0.2765,0.472,0.2475,0.12,0.23,0.31,0.24,0.165,0.034,0.879,0.3885,1.8992122,1.844778,202928512,1217571072,111.31998682022095,102155
6,0.302680412371134,0.24176800764578832,0.302680412371134,0.26117115797331913,0.32168951599067125,0.302680412371134,0.3364090909090909,0.302680412371134,0.302680412371134,0.3164902351138936,0.4843032589733689,0.27352856049751084,0.6407982261640798,0.28783783783783784,0.5596026490066225,0.03463203463203463,0.5337662337662338,0.09859154929577464,0.05611390284757119,0.04742478327383988,0.19339622641509435,0.5797909407665506,0.449438202247191,0.289,0.426,0.2535,0.24,0.411,0.245,0.335,0.465,0.164,0.832,0.04,1.9315344,1.7417442,202928512,1420499584,113.11179184913635,102155
7,0.38793814432989693,0.311404431775245,0.38793814432989693,0.2941338337148713,0.41990622538828426,0.38793814432989693,0.35390909090909095,0.38793814432989693,0.38793814432989693,0.37896967359652983,0.5552451606515664,0.26832480881229576,0.666392769104355,0.3865546218487395,0.5597365945437441,0.034358047016274866,0.8211920529801324,0.09196891191709844,0.07181571815718157,0.09615384615384616,0.20245398773006135,0.7135802469135802,0.5244596131968146,0.4055,0.184,0.2975,0.38,0.124,0.355,0.53,0.025,0.264,0.867,0.461,1.7564985,1.706576,202928512,1623428096,113.63676619529724,102155
8,0.40154639175257734,0.3280424164386374,0.40154639175257734,0.32131762460016183,0.4325965744056709,0.40154639175257734,0.37799999999999995,0.40154639175257734,0.40154639175257734,0.3788755163316921,0.547149226089473,0.3394064292770761,0.6808228268082283,0.525974025974026,0.5594470046082949,0.036539895600298286,0.7574850299401198,0.15137614678899083,0.0758988015978695,0.06587615283267458,0.21502590673575128,0.5618311533888228,0.5373537353735374,0.513,0.324,0.3035,0.49,0.253,0.33,0.285,0.25,0.166,0.945,0.2985,1.7160869,1.6785619,202928512,1826356608,119.40272164344788,102155
9,0.345979381443299,0.2886568741120753,0.345979381443299,0.30869226222304874,0.3799938554879673,0.345979381443299,0.39013636363636367,0.345979381443299,0.345979381443299,0.43456666055263293,0.6185884801492283,0.3121187705347638,0.6864211737629459,0.6445783132530121,0.7195571955719557,0.024473534433693798,0.797979797979798,0.09043250327653997,0.07439446366782007,0.043356643356643354,0.3133047210300429,0.9041237113402062,0.4816112084063047,0.5965,0.428,0.0975,0.43,0.158,0.69,0.43,0.155,0.292,0.877,0.1375,1.5823336,1.6436946,202928512,2029285120,118.61448335647583,102155
10,0.3945360824742268,0.3346255055881874,0.3945360824742268,0.3472253226994817,0.4375378969707507,0.3945360824742268,0.4001818181818182,0.3945360824742268,0.3945360824742268,0.4046028480841825,0.5941357826432444,0.33127316689581127,0.6971677559912854,0.4429611650485437,0.6628571428571428,0.0242024202420242,0.5398406374501992,0.12652068126520682,0.04871259568545581,0.07272727272727272,0.35092348284960423,0.9151643690349947,0.5695538057742782,0.48,0.73,0.174,0.44,0.542,0.26,0.35,0.08,0.266,0.863,0.217,1.6498351,1.6304253,202928512,2232213632,118.73502993583679,102155
11,0.3991752577319588,0.33989026117559973,0.3991752577319588,0.35888494817615835,0.4429679456467838,0.3991752577319588,0.42322727272727273,0.3991752577319588,0.3991752577319588,0.4636001036088808,0.6526237390791044,0.33086336080372786,0.7419986936642717,0.5725806451612904,0.7272727272727273,0.02540690750297737,0.8345323741007195,0.17016806722689076,0.062111801242236024,0.12903225806451613,0.37616822429906543,0.9124613800205973,0.5478680611423974,0.568,0.71,0.092,0.64,0.232,0.405,0.4,0.06,0.322,0.886,0.3405,1.5996652,1.5663685,202928512,2435142144,118.49935722351074,102155
12,0.5098969072164948,0.4412703720801179,0.5098969072164948,0.3997103515488982,0.5339954206386764,0.5098969072164948,0.44849999999999995,0.5098969072164948,0.5098969072164948,0.46541627033811034,0.6505188257324283,0.3269826634730248,0.8587699316628702,0.7186761229314421,0.6300751879699248,0.05,0.8033898305084746,0.08410200759631037,0.09663865546218488,0.09574468085106383,0.3722627737226277,0.8966535433070866,0.5132662397072278,0.754,0.608,0.2095,0.08,0.237,0.775,0.345,0.045,0.408,0.911,0.561,1.5084006,1.5044935,202928512,2638070656,117.36462736129761,102155
13,0.48422680412371133,0.4208495636898284,0.48422680412371133,0.40355924087739,0.524664844456776,0.48422680412371133,0.46036363636363636,0.48422680412371133,0.48422680412371133,0.4830567673280364,0.661137937199076,0.3383694465399438,0.7745050700144858,0.8297213622291022,0.6675862068965517,0.03297244094488189,0.8202247191011236,0.20833333333333334,0.09495548961424333,0.075,0.3545966228893058,0.8739416745061148,0.581787521079258,0.802,0.536,0.242,0.67,0.292,0.375,0.48,0.015,0.378,0.929,0.345,1.4985019,1.515356,202928512,2840999168,115.10786247253418,102155
14,0.5785567010309278,0.5107876036320569,0.5785567010309278,0.4553628791874008,0.5948459419740356,0.5785567010309278,0.4859545454545455,0.5785567010309278,0.5785567010309278,0.500858785819764,0.6710154851224188,0.39909754142503817,0.8492022645393721,0.8357771260997068,0.6558659217877095,0.028688524590163935,0.7811158798283262,0.13695395513577333,0.15459882583170254,0.14814814814814814,0.45898778359511344,0.940809968847352,0.519298245614035,0.825,0.57,0.2935,0.14,0.364,0.58,0.395,0.08,0.526,0.906,0.666,1.4168012,1.4634497,202928512,3043927680,112.19856476783752,102155
15,0.48422680412371133,0.4266200676064459,0.48422680412371133,0.4114208933762696,0.5161761079738417,0.48422680412371133,0.47877272727272735,0.48422680412371133,0.48422680412371133,0.46466821880036074,0.6678119120440037,0.396875357944313,0.8938679245283019,0.7126436781609196,0.7478753541076487,0.02526315789473684,0.658311345646438,0.0918918918918919,0.1087866108786611,0.05868544600938967,0.4171322160148976,0.8770949720670391,0.5197978096040438,0.758,0.744,0.132,0.24,0.499,0.68,0.39,0.125,0.448,0.942,0.3085,1.4338392,1.4946138,202928512,3246856192,112.59455347061157,102155
16,0.5210309278350516,0.45715996159929073,0.5210309278350516,0.43111055432490775,0.556085877285959,0.5210309278350516,0.4737727272727273,0.5210309278350516,0.5210309278350516,0.5049917834713479,0.6731159510798959,0.3899820443375714,0.7623716153127917,0.7164461247637051,0.7279305354558611,0.03577417551704863,0.7910112359550562,0.39285714285714285,0.09190371991247265,0.12179487179487179,0.43116883116883115,0.9083895853423336,0.5752617801047121,0.8165,0.758,0.2515,0.64,0.352,0.165,0.42,0.095,0.332,0.942,0.4395,1.4530215,1.4594492,202928512,3449784704,110.09293723106384,102155
17,0.5312371134020618,0.4686509877432614,0.5312371134020618,0.43147659355887136,0.5687543131982749,0.5312371134020618,0.5058636363636364,0.5312371134020618,0.5312371134020618,0.4976909303349387,0.7043661497160327,0.4001808203691477,0.9773299748110831,0.7032967032967034,0.6708961141950832,0.04411764705882353,0.8273809523809523,0.14583333333333334,0.11315789473684211,0.08602150537634409,0.4064245810055866,0.9200394866732478,0.5801020408163265,0.582,0.768,0.423,0.54,0.139,0.56,0.43,0.04,0.582,0.932,0.5685,1.3876458,1.4269245,202928512,3652713216,116.85000705718994,102155
18,0.5072164948453608,0.4488669119263985,0.5072164948453608,0.4116830565034947,0.5501719367311811,0.5072164948453608,0.4865,0.5072164948453608,0.5072164948453608,0.47211654591288643,0.6913061888787487,0.0,0.9328552803129074,0.7366336633663366,0.6577981651376147,0.031209362808842653,0.7727272727272727,0.09328859060402685,0.09539842873176206,0.0,0.3171402383134739,0.9285714285714286,0.6276595744680851,0.7155,0.744,0.3585,0.24,0.221,0.695,0.425,0.0,0.692,0.936,0.3245,1.4385798,1.4295058,202928512,3855641728,113.5422191619873,102155
19,0.5488659793814433,0.4886631121690548,0.5488659793814433,0.44747713622786217,0.5892374962190642,0.5488659793814433,0.5119545454545456,0.5488659793814433,0.5488659793814433,0.4992828844684389,0.6960539460915622,0.43686674444158435,0.8978555304740407,0.8356643356643356,0.7106145251396648,0.04390681003584229,0.7518656716417911,0.14471968709256844,0.1354916067146283,0.08275862068965517,0.3903133903133903,0.9048991354466859,0.5940224159402242,0.7955,0.478,0.318,0.49,0.403,0.555,0.565,0.06,0.548,0.942,0.477,1.3914148,1.3808552,202928512,4058570240,111.91251373291016,102155
20,0.5518556701030928,0.49183751681184706,0.5518556701030928,0.43752245296551207,0.5758326382749094,0.5518556701030928,0.5151818181818183,0.5518556701030928,0.5518556701030928,0.47828710685503034,0.6854486007418037,0.3985145766737644,0.8678290213723284,0.4924892703862661,0.7445255474452555,0.043478260869565216,0.78,0.18050541516245489,0.14814814814814814,0.13559322033898305,0.3177083333333333,0.959915611814346,0.5909653465346535,0.7715,0.918,0.306,0.52,0.312,0.5,0.18,0.04,0.732,0.91,0.4775,1.2599916,1.4374917,202928512,4261498752,112.71400284767151,102155
21,0.5074226804123712,0.44826986880121134,0.5074226804123712,0.42456991775416175,0.5625030885840436,0.5074226804123712,0.4917727272727273,0.5074226804123712,0.5074226804123712,0.5015851218490871,0.7123626980960043,0.3863361483103794,0.9540901502504173,0.7690288713910761,0.6764264264264265,0.04482758620689655,0.8092307692307692,0.08662696264212236,0.10302534750613246,0.13157894736842105,0.38095238095238093,0.9273631840796019,0.6342857142857142,0.5715,0.586,0.4505,0.13,0.263,0.8,0.63,0.05,0.608,0.932,0.3885,1.3303224,1.4047962,202928512,4464427264,118.5696108341217,102155
22,0.5409278350515464,0.48263041710235854,0.5409278350515464,0.4651649132334983,0.5891303738618081,0.5409278350515464,0.5272272727272728,0.5409278350515464,0.5409278350515464,0.511417710317483,0.7131194458067425,0.49781583807004354,0.9250773993808049,0.6626712328767124,0.7955729166666666,0.043037974683544304,0.7571157495256167,0.24477611940298508,0.11648079306071871,0.09247842170160296,0.4953051643192488,0.9413549039433772,0.5517241379310345,0.747,0.774,0.3055,0.51,0.399,0.41,0.47,0.375,0.422,0.931,0.456,1.2506107,1.3640119,202928512,4667355776,117.77664351463318,102155
