epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_fodder,precision_fallow,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,recall_barley,recall_wheat,recall_fodder,recall_fallow,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.20010309278350516,-0.007662337662337704,0.20010309278350516,0.03632980807268212,0.08239750284525843,0.20010309278350516,0.08822727272727272,0.20010309278350516,0.20010309278350516,0.03221395024307893,0.07306256756162231,0.0,0.0,0.0,0.20310790107244472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1512455516014235,0.0,0.0,0.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425,2.6721697,2.0891495,202928512,202928512,119.75174474716187,102155
1,0.20618556701030927,0.0,0.20618556701030927,0.03108003108003108,0.07049079214027668,0.20618556701030927,0.09090909090909091,0.20618556701030927,0.20618556701030927,0.01874414245548266,0.04251248804336273,0.0,0.20618556701030927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0546296,2.0856373,202928512,405857024,111.51891708374023,102155
2,0.3664948453608247,0.23926666156163057,0.3664948453608247,0.17601199211192672,0.32709019171817744,0.3664948453608247,0.2080909090909091,0.3664948453608247,0.3664948453608247,0.17012675867807242,0.320523323789524,0.0,0.3884228187919463,0.0,0.36141108711303094,0.0,0.37945205479452054,0.0,0.0,0.0,0.0,0.25426039536468986,0.48784798939460894,0.463,0.0,0.251,0.0,0.277,0.0,0.0,0.0,0.0,0.746,0.552,2.0073118,1.844552,202928512,608785536,112.09751915931702,102155
3,0.43752577319587627,0.3121676067687349,0.43752577319587627,0.2053678468503853,0.36790508457830007,0.43752577319587627,0.23786363636363636,0.43752577319587627,0.43752577319587627,0.21973854482776564,0.37013736535896474,0.0,0.4418238993710692,0.25,0.41713483146067415,0.0,0.41839080459770117,0.0,0.0,0.0,0.0,0.4505247376311844,0.43924972004479285,0.7025,0.016,0.1485,0.0,0.364,0.0,0.0,0.0,0.0,0.601,0.7845,1.7786076,1.6398807,202928512,811714048,111.25209784507751,102155
4,0.45948453608247425,0.33766450260143643,0.45948453608247425,0.2258240354751261,0.39627358275107166,0.45948453608247425,0.2530909090909091,0.45948453608247425,0.45948453608247425,0.25479411225110926,0.4116581090120161,0.0,0.4381635581061693,0.3448275862068966,0.48242811501597443,0.0,0.5991189427312775,0.0,0.0,0.0,0.0,0.4960264900662252,0.4421705426356589,0.7635,0.06,0.2265,0.0,0.272,0.0,0.0,0.0,0.0,0.749,0.713,1.5527891,1.5333298,202928512,1014642560,114.02850651741028,102155
5,0.4988659793814433,0.3831702467230057,0.4988659793814433,0.2519677963088432,0.43332966980142973,0.4988659793814433,0.2733636363636364,0.4988659793814433,0.4988659793814433,0.2820114721037321,0.4573129414583174,0.0,0.47882288228822883,0.296875,0.5658362989323843,0.0,0.6037735849056604,0.0,0.0,0.0,0.0,0.7192307692307692,0.4375876577840112,0.8705,0.114,0.2385,0.0,0.256,0.0,0.0,0.0,0.0,0.748,0.78,1.5443707,1.4247783,202928512,1217571072,110.90608739852905,102155
6,0.5274226804123712,0.4226625290520275,0.5274226804123712,0.2817548391824976,0.4583441620826974,0.5274226804123712,0.3069090909090909,0.5274226804123712,0.5274226804123712,0.3503601822656411,0.5237815286293586,0.0,0.5047433035714286,0.30952380952380953,0.6680244399185336,0.0,0.5771513353115727,0.0,0.0,0.0,0.5,0.8358061325420376,0.4587129840546697,0.9045,0.26,0.164,0.0,0.389,0.0,0.0,0.0,0.008,0.845,0.8055,1.3725435,1.3655871,202928512,1420499584,111.26940131187439,102155
7,0.5517525773195876,0.4548441593861767,0.5517525773195876,0.30963116783320166,0.4846687342032268,0.5517525773195876,0.3387727272727273,0.5517525773195876,0.5517525773195876,0.3682904930122834,0.5413873901402478,0.0,0.6248191027496383,0.4777777777777778,0.6407942238267148,0.0,0.6259124087591241,0.0,0.0,0.0,0.5142857142857142,0.7369255150554676,0.43068068068068066,0.8635,0.516,0.1775,0.0,0.343,0.0,0.0,0.0,0.036,0.93,0.8605,1.2837404,1.2994825,202928512,1623428096,113.0273323059082,102155
8,0.6062886597938144,0.5247623446099372,0.6062886597938144,0.37833400998005556,0.5700265153434182,0.6062886597938144,0.39086363636363636,0.6062886597938144,0.6062886597938144,0.3938806173180555,0.5779136439888664,0.0,0.7606142728093948,0.5950920245398773,0.6163003663003663,0.0,0.5235023041474655,0.0,0.0,0.0,0.543778801843318,0.8278026905829596,0.46559633027522934,0.842,0.582,0.3365,0.0,0.568,0.0,0.0,0.0,0.236,0.923,0.812,1.1891229,1.1985718,202928512,1826356608,110.0481505393982,102155
9,0.64,0.5662661710303745,0.64,0.414206453285086,0.614185015867575,0.64,0.42072727272727267,0.64,0.64,0.4366727400455892,0.6058323325432403,0.0,0.8065268065268065,0.6836518046709129,0.6095126247798004,0.0,0.5421686746987951,0.0,0.2777777777777778,0.0,0.5460526315789473,0.843501326259947,0.4942084942084942,0.865,0.644,0.519,0.0,0.585,0.0,0.025,0.0,0.332,0.954,0.704,1.0589718,1.1476978,202928512,2029285120,119.10981726646423,102155
