epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_corn,precision_fodder,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_wheat,recall_corn,recall_fodder,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.020833333333333332,0.0,0.020833333333333332,0.0034013605442176874,0.0008503401360544217,0.020833333333333332,0.08333333333333333,0.020833333333333332,0.020833333333333332,0.001736111111111111,0.0004340277777777777,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2630315,2.6098006,202930944,202930944,131.5809645652771,102220
1,0.20854166666666665,0.000263157894736854,0.20854166666666665,0.029074917545826817,0.07268729386456704,0.20854166666666665,0.08341666666666665,0.20854166666666665,0.20854166666666665,0.039593114241001565,0.09898278560250393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2084507042253521,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.002,0.0,0.0,0.0,0.0,2.9771616,2.6040387,202930944,405861888,126.7635440826416,102220
2,0.03229166666666667,0.01351571081090952,0.03229166666666667,0.014303998034825146,0.0032325278391970953,0.03229166666666667,0.14125000000000001,0.03229166666666667,0.03229166666666667,0.0075385187434153685,0.0017025420828801633,0.0,0.0,0.0,0.02688050598599503,0.0,0.017480409885473176,0.0,0.0,0.0,0.0,0.0,0.04610130904951622,0.0,0.0,0.0,0.595,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.81,0.0,2.8187366,2.5590684,202930944,608792832,122.8437111377716,102220
3,0.36072916666666666,0.257400134112463,0.36072916666666666,0.1640906094001418,0.3421733139165783,0.36072916666666666,0.20975,0.36072916666666666,0.36072916666666666,0.26298801576509273,0.5623572799853666,0.0,0.14285714285714285,0.0,0.03345139708776072,0.14893617021276595,0.041401273885350316,0.05102040816326531,0.41362126245847175,0.749738219895288,0.0,1.0,0.1111111111111111,0.4637192035099561,0.01,0.0,0.425,0.105,0.26,0.025,0.249,0.716,0.0,0.005,0.035,0.687,2.6614757,2.270724,202930944,811723776,123.16141986846924,102220
4,0.30802083333333335,0.23327975223651976,0.30802083333333335,0.18118768838670074,0.35474943543704396,0.30802083333333335,0.24208333333333332,0.30802083333333335,0.30802083333333335,0.2690125075612519,0.5869471465187781,0.0,0.07692307692307693,0.013574660633484163,0.04153898535921008,0.12121212121212122,0.04173913043478261,0.08368794326241134,0.4720121028744327,0.7607758620689655,0.0,0.8928571428571429,0.08752025931928688,0.6363088057901085,0.002,0.09,0.61,0.06,0.24,0.295,0.156,0.5295,0.0,0.125,0.27,0.5275,2.1495652,2.1925092,202930944,1014654720,121.38393259048462,102220
5,0.4142708333333333,0.33833679604331757,0.41427083333333337,0.2575933787474515,0.47695985824831943,0.4142708333333333,0.32583333333333336,0.4142708333333333,0.4142708333333333,0.3258720791469022,0.6583481904977025,0.23700231641039546,0.3333333333333333,0.06382978723404255,0.08835616438356164,0.1471698113207547,0.05084745762711865,0.08046683046683047,0.5584854631507775,0.81282722513089,0.027777777777777776,0.781796262808921,0.08963093145869948,0.8759439050701187,0.082,0.15,0.645,0.195,0.03,0.655,0.413,0.3105,0.12,0.6485,0.255,0.406,2.0548377,1.9767083,202930944,1217585664,120.98845219612122,102220
6,0.41520833333333335,0.34686358937567496,0.4152083333333334,0.26543947113732075,0.46561942473169515,0.41520833333333335,0.35541666666666666,0.41520833333333335,0.41520833333333335,0.3399546649701905,0.6979922738800219,0.2572259320630957,0.24455611390284757,0.08664259927797834,0.09149902660609993,0.10021321961620469,0.08695652173913043,0.07965686274509803,0.6696078431372549,0.8333333333333334,0.056074766355140186,0.8335152838427947,0.09250398724082935,0.9048964218455744,0.292,0.24,0.705,0.235,0.02,0.65,0.3415,0.1275,0.12,0.7635,0.29,0.4805,1.9142283,1.9104623,202930944,1420516608,127.83317136764526,102220
7,0.4403125,0.36253499020583213,0.4403125,0.277757913860818,0.443994119492093,0.4403125,0.37949999999999995,0.4403125,0.4403125,0.3506166829777922,0.6594625530232537,0.2708222805816041,0.24477244772447723,0.06835443037974684,0.2605042016806723,0.12883435582822086,0.19230769230769232,0.1178743961352657,0.6447368421052632,0.8475836431226765,0.07692307692307693,0.6390492359932088,0.09022556390977443,0.896234309623431,0.398,0.54,0.31,0.315,0.05,0.61,0.2205,0.114,0.04,0.941,0.48,0.5355,1.7189922,1.7892914,202930944,1623447552,125.39259767532349,102220
8,0.44583333333333336,0.3813736189861321,0.44583333333333336,0.29329767598670115,0.4718517633967786,0.44583333333333336,0.4263333333333334,0.44583333333333336,0.44583333333333336,0.36035652956231773,0.7152033102436718,0.3238101048946296,0.3152,0.07391304347826087,0.14977578475336323,0.1246376811594203,0.09278350515463918,0.12551159618008187,0.6146682188591386,0.8671875,0.06428571428571428,0.9146666666666666,0.08392973324658426,0.8977189109639441,0.394,0.51,0.835,0.215,0.18,0.46,0.264,0.0555,0.09,0.8575,0.645,0.61,1.721839,1.6937983,202930944,1826378496,121.66340231895447,102220
9,0.4496875,0.3840354056246752,0.4496875,0.3008365111202728,0.493160554373368,0.4496875,0.4280000000000001,0.4496875,0.4496875,0.3555291540860657,0.6840154814293998,0.33943103470184577,0.2949852507374631,0.05159235668789809,0.21524064171122995,0.1565934065934066,0.14545454545454545,0.1087866108786611,0.48125937031484256,0.8286713286713286,0.05612244897959184,0.8952333664349553,0.09863013698630137,0.9337803855825649,0.2,0.81,0.805,0.285,0.08,0.52,0.1605,0.237,0.22,0.9015,0.36,0.557,1.8588697,1.666026,202930944,2029309440,127.99669456481934,102220
