epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_corn,precision_fodder,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_wheat,recall_corn,recall_fodder,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.19552083333333334,0.009455099300587189,0.1955208333333333,0.0362279122550184,0.077067790870633,0.19552083333333334,0.08770833333333333,0.19552083333333334,0.19552083333333334,0.023023893474714938,0.048127644727295686,0.0,0.06036536934074663,0.0,0.0,0.0,0.0,0.0,0.21592135235583262,0.0,0.0,0.0,0.0,0.0,0.152,0.0,0.0,0.0,0.0,0.0,0.9005,0.0,0.0,0.0,0.0,0.0,2.830475,2.3994222,202930944,202930944,133.35090279579163,102220
1,0.010416666666666666,-4.166840285013684e-05,0.010416666666666666,0.001718567402213515,0.00021482092527668934,0.010416666666666666,0.08333333333333333,0.010416666666666666,0.010416666666666666,0.0008682364381468362,0.00010852955476835452,0.0,0.0,0.010418837257762034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2326539,2.373772,202930944,405861888,114.91591787338257,102220
2,0.13375,0.04250197595748495,0.13375,0.05434421353827832,0.10954831179102265,0.13375,0.132375,0.13375,0.13375,0.1883838864452069,0.4551517883685388,0.0,0.0,0.0,0.009302325581395349,0.012987012987012988,0.01329198050509526,0.0,0.25112866817155755,0.723404255319149,0.0,0.6842105263157895,0.047989185535653935,0.5182926829268293,0.0,0.0,0.01,0.015,0.3,0.0,0.445,0.017,0.0,0.0065,0.71,0.085,2.6169693,2.2940118,202930944,608792832,114.18956565856934,102220
3,0.34302083333333333,0.2469703301295445,0.34302083333333333,0.14889494621797675,0.32560742934697245,0.34302083333333333,0.219,0.34302083333333333,0.34302083333333333,0.24589515066911005,0.54550780356482,0.0,0.16666666666666666,0.023084994753410283,0.05090006207324643,0.125,0.028487947406866325,0.0,0.3055555555555556,0.6913099870298314,0.0,1.0,0.0,0.5597365945437441,0.002,0.22,0.41,0.035,0.39,0.0,0.176,0.7995,0.0,0.0005,0.0,0.595,2.3152924,2.0121236,202930944,811723776,116.207852602005,102220
4,0.4115625,0.3274891584313734,0.4115625,0.23075971829014053,0.4496849421606252,0.4115625,0.29266666666666663,0.4115625,0.4115625,0.2842471979725161,0.58351016071543,0.0,0.288135593220339,0.04088397790055249,0.07570621468926554,0.10619469026548672,0.02040816326530612,0.07635135135135135,0.5418502202643172,0.7743732590529248,0.0,0.6347826086956522,0.11484593837535013,0.7374343585896475,0.034,0.37,0.335,0.12,0.06,0.565,0.1845,0.417,0.0,0.73,0.205,0.4915,1.9205737,1.9102862,202930944,1014654720,117.99695944786072,102220
5,0.4033333333333333,0.33016456945171946,0.40333333333333327,0.24705293122146513,0.4288033531773655,0.4033333333333333,0.33970833333333333,0.4033333333333333,0.4033333333333333,0.3265987075692256,0.661132545187152,0.22431951133463612,0.27320954907161804,0.06428571428571428,0.07899686520376176,0.13677811550151975,0.05339805825242718,0.09668755595344673,0.6605839416058394,0.8291139240506329,0.07692307692307693,0.6975589573851882,0.08305369127516779,0.868595041322314,0.206,0.18,0.63,0.225,0.11,0.54,0.181,0.131,0.01,0.843,0.495,0.5255,1.969315,1.7345667,202930944,1217585664,111.23024821281433,102220
6,0.4559375,0.3876785400261825,0.4559375,0.2793756450812977,0.5125913088953153,0.4559375,0.35874999999999996,0.4559375,0.4559375,0.33814938760237584,0.7041509314014758,0.2598561413529924,0.27676240208877284,0.08305647840531562,0.0938337801608579,0.0625,0.05673758865248227,0.08802177858439202,0.7254901960784313,0.804661487236404,0.0379746835443038,0.8797327394209354,0.09055118110236221,0.858470335954253,0.212,0.25,0.7,0.15,0.08,0.485,0.185,0.3625,0.03,0.79,0.46,0.6005,1.5823742,1.657199,202930944,1420516608,111.550621509552,102220
7,0.5334375,0.45527584970628154,0.5334375,0.33298369188603566,0.5564073220601035,0.5334375,0.3960833333333333,0.5334375,0.5334375,0.3537244027233471,0.6683102540793807,0.31039833462518807,0.27947019867549666,0.13494809688581316,0.2524752475247525,0.1275,0.1,0.10871602624179943,0.7122736418511066,0.7884615384615384,0.05521472392638037,0.6584433634468381,0.12413793103448276,0.9030520646319569,0.422,0.39,0.51,0.255,0.05,0.58,0.354,0.4715,0.09,0.9475,0.18,0.503,1.4912927,1.5592198,202930944,1623447552,118.71235466003418,102220
8,0.48364583333333333,0.4127154161709605,0.48364583333333333,0.3337702301022349,0.4886845988023088,0.48364583333333333,0.44025,0.48364583333333333,0.48364583333333333,0.38650493284436854,0.7002882856260204,0.3601073111739901,0.30444444444444446,0.1189873417721519,0.5431034482758621,0.11282660332541568,0.09829059829059829,0.1094257854821235,0.7036048064085447,0.8571428571428571,0.08411214953271028,0.728334589299171,0.08133472367049009,0.8964518464880521,0.548,0.47,0.63,0.475,0.23,0.505,0.2635,0.096,0.09,0.9665,0.39,0.619,1.4132478,1.4640691,202930944,1826378496,118.12730622291565,102220
9,0.5180208333333334,0.45233556825215204,0.5180208333333334,0.3462877318527531,0.5352459510392922,0.5180208333333334,0.4700833333333334,0.5180208333333334,0.5180208333333334,0.3908282390745912,0.7184355425804034,0.32195594985537274,0.42704626334519574,0.09646302250803858,0.3900523560209424,0.1700404858299595,0.09090909090909091,0.1063268892794376,0.6624636275460718,0.8221343873517787,0.06389776357827476,0.8772810218978102,0.09186602870813397,0.8914579319203597,0.48,0.6,0.745,0.42,0.01,0.605,0.3415,0.104,0.2,0.9615,0.48,0.694,1.3778014,1.2798862,202930944,2029309440,119.4081654548645,102220
