epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_corn,precision_fodder,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_wheat,recall_corn,recall_fodder,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.3172586188938652,0.2180460007401499,0.3172586188938652,0.17278166604290238,0.3220017880689479,0.3172586188938652,0.2452725576662144,0.3172586188938652,0.3172586188938652,0.25934344495381073,0.5666993478996252,0.0,0.0,0.04230769230769231,0.05840957072484166,0.10588235294117647,0.03468208092485549,0.10217983651226158,0.314878892733564,0.7713675213675214,0.0,0.96875,0.0875,0.6261633919338159,0.0,0.11,0.415,0.045,0.36363636363636365,0.373134328358209,0.4095,0.361,0.0,0.0155,0.245,0.6055,3.0834565,2.2127063,672876288,672876288,354.49476075172424,102220
1,0.45734819289657325,0.38747614450565016,0.45734819289657325,0.3112257705654438,0.4501955161076369,0.45734819289657325,0.4543385839131326,0.45734819289657325,0.45734819289657325,0.37584170060423294,0.6986593004816813,0.30769109430519126,0.3435672514619883,0.0974124809741248,0.385,0.12332838038632987,0.10465116279069768,0.10522273425499232,0.6438026474127557,0.8837209302325582,0.06382978723404255,0.7247811191473164,0.10432033719704953,0.9304635761589404,0.469061876247505,0.64,0.77,0.415,0.09090909090909091,0.681592039800995,0.2675,0.019,0.09,0.952,0.495,0.562,2.215849,1.5434813,672876288,1345752576,347.30590772628784,102220
2,0.5254660972815332,0.46677815581893056,0.5254660972815332,0.39759294930570643,0.5477934729878396,0.5254660972815332,0.5341989200025999,0.5254660972815332,0.5254660972815332,0.4591085193652611,0.7859970528434196,0.43950576246620404,0.32003257328990226,0.22178988326848248,0.7375565610859729,0.1375186846038864,0.24,0.12256493506493507,0.8203309692671394,0.8512820512820513,0.07196969696969698,0.945646703573226,0.10139165009940358,0.9392185238784371,0.7844311377245509,0.57,0.815,0.46,0.12121212121212122,0.7512437810945274,0.347,0.083,0.38,0.9395,0.51,0.649,1.6581342,1.3426806,672876288,2018628864,578.6138904094696,102220
3,0.5648369961462347,0.5094752238016698,0.5648369961462347,0.43387232463662967,0.5999581234798611,0.5648369961462347,0.5899781652961226,0.5648369961462347,0.5648369961462347,0.47557758747647627,0.8202687774864383,0.5325341981923833,0.527086383601757,0.1837270341207349,0.7276422764227642,0.17728055077452667,0.1032258064516129,0.12047177759056445,0.8798076923076923,0.8814589665653495,0.08666666666666667,0.980224478888295,0.1071049840933192,0.9322344322344323,0.718562874251497,0.7,0.895,0.515,0.32323232323232326,0.7114427860696517,0.366,0.145,0.52,0.917,0.505,0.7635,1.3980925,1.304203,672876288,2691505152,394.0780770778656,102220
4,0.5842099781272784,0.5280670458381317,0.5842099781272784,0.44380266950073927,0.6166280824040471,0.5842099781272784,0.5730719417865611,0.5842099781272784,0.5842099781272784,0.4844401941472399,0.8091384632008084,0.49881609930776694,0.5057618437900128,0.18282548476454294,0.7902439024390244,0.263681592039801,0.11979166666666667,0.13627254509018036,0.841296928327645,0.8417508417508418,0.11421319796954314,0.9797333333333333,0.09198423127463863,0.9457267623206488,0.7884231536926147,0.66,0.81,0.265,0.23232323232323232,0.6766169154228856,0.493,0.125,0.45,0.9185,0.7,0.758,1.4242373,1.1964779,672876288,3364381440,349.9234528541565,102220
5,0.5694198520987397,0.5143632508138007,0.5694198520987397,0.43648113761367724,0.5757849886320031,0.5694198520987397,0.6093121203695427,0.5694198520987397,0.5694198520987397,0.48845309355277083,0.818211283240913,0.48787396519710735,0.4757174392935982,0.13666666666666666,0.7261410788381742,0.296,0.176,0.14138576779026218,0.8406976744186047,0.9090909090909091,0.14887640449438203,0.9835369091874668,0.1015625,0.9257617728531856,0.8602794411177644,0.82,0.875,0.37,0.2222222222222222,0.7512437810945274,0.3615,0.045,0.53,0.926,0.715,0.8355,1.3605708,1.1589825,672876288,4037257728,357.24952268600464,102220
6,0.6258723049682324,0.5717350693224741,0.6258723049682324,0.4841556277490124,0.6496197273947414,0.6258723049682324,0.622021880368616,0.6258723049682324,0.6258723049682324,0.5133374269248848,0.8247776824371085,0.5589926503599332,0.6317512274959084,0.16059957173447537,0.821256038647343,0.3,0.1864406779661017,0.125,0.8219858156028369,0.8918918918918919,0.1815068493150685,0.9832197168327216,0.11491712707182321,0.9414802065404475,0.7704590818363274,0.75,0.85,0.435,0.3333333333333333,0.8059701492537313,0.5795,0.132,0.53,0.9375,0.52,0.8205,1.2286688,1.0871682,672876288,4710134016,351.1567859649658,102220
7,0.6810748880324966,0.6291738462244645,0.6810748880324966,0.5034702709319291,0.7208454096002025,0.6810748880324966,0.6131876448745807,0.6810748880324966,0.6810748880324966,0.5021250160267952,0.8168705823690847,0.5740248882978869,0.5054282267792521,0.18101545253863136,0.8208955223880597,0.30256410256410254,0.13026819923371646,0.17638483965014579,0.858359133126935,0.8382608695652174,0.16161616161616163,0.9813664596273292,0.11800302571860817,0.9513381995133819,0.8363273453093812,0.82,0.825,0.295,0.3434343434343434,0.6019900497512438,0.5545,0.482,0.48,0.948,0.39,0.782,1.191087,1.0493574,672876288,5383010304,351.9444558620453,102220
8,0.6746172273721487,0.6198110174466847,0.6746172273721487,0.4995397508172584,0.7157764883253395,0.6746172273721487,0.5910474393441371,0.6746172273721487,0.6746172273721487,0.5067192684029046,0.8008905967129075,0.5400903995002817,0.644404332129964,0.1492007104795737,0.7980769230769231,0.3841059602649007,0.13541666666666666,0.15417106652587118,0.7385964912280701,0.8227311280746396,0.17801047120418848,0.9831844456121913,0.12307692307692308,0.9696561024949427,0.7125748502994012,0.84,0.83,0.29,0.26262626262626265,0.7263681592039801,0.6315,0.485,0.34,0.9355,0.32,0.719,1.2415962,1.0743434,672876288,6055886592,365.4301435947418,102220
9,0.6583689199041767,0.6055044437259993,0.6583689199041767,0.5044268106513236,0.6891803454311202,0.6583689199041767,0.6305743877088278,0.6583689199041767,0.6583689199041767,0.5188468717976206,0.8246424294798066,0.5840125962318481,0.6418918918918919,0.19338422391857507,0.7656903765690377,0.37888198757763975,0.12790697674418605,0.18798151001540833,0.8073229291716687,0.8721374045801527,0.1934156378600823,0.987254381306426,0.10903173311635476,0.9612634088200238,0.7584830339321357,0.76,0.915,0.305,0.4444444444444444,0.6069651741293532,0.6725,0.2285,0.47,0.9295,0.67,0.8065,1.1194842,1.018956,672876288,6728762880,353.44716787338257,102220
