epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_corn,precision_fodder,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_wheat,recall_corn,recall_fodder,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.40152067492969484,0.3030528297852233,0.40152067492969484,0.2241094554549823,0.4236045311625439,0.40152067492969484,0.2707592855146032,0.40152067492969484,0.40152067492969484,0.26863204145376424,0.5614083011018497,0.0,0.14857142857142858,0.0,0.0665163472378805,0.09536784741144415,0.1076923076923077,0.08656447249774572,0.4845679012345679,0.7725321888412017,0.0,0.8545176110260337,0.10140845070422536,0.5058459422283357,0.10379241516966067,0.0,0.295,0.175,0.0707070707070707,0.47761194029850745,0.3925,0.36,0.0,0.279,0.36,0.7355,2.623335,1.6430436,672876288,672876288,339.4295551776886,102220
1,0.48755337985626496,0.41840604127884806,0.48755337985626496,0.3375440906867145,0.5038822433290134,0.48755337985626496,0.4447594304832217,0.48755337985626496,0.48755337985626496,0.3945049339463587,0.7134279451447415,0.34820844864377254,0.32998324958123953,0.21052631578947367,0.42528735632183906,0.12254901960784313,0.13953488372093023,0.10719424460431655,0.7118181818181818,0.8465608465608465,0.04504504504504504,0.7646090534979424,0.1078125,0.923138510808647,0.3932135728542914,0.28,0.74,0.5,0.06060606060606061,0.7412935323383084,0.3915,0.08,0.3,0.929,0.345,0.5765,1.7579865,1.1092371,672876288,1345752576,317.17711877822876,102220
2,0.5336944068326216,0.4748220332921641,0.5336944068326216,0.39245952427697833,0.540262426337885,0.5336944068326216,0.5436782478688033,0.5336944068326216,0.5336944068326216,0.4498526456619523,0.7754852521249144,0.42536648925997683,0.37983706720977595,0.16761363636363635,0.6433823529411765,0.14102564102564102,0.23076923076923078,0.11411411411411411,0.7917888563049853,0.8580645161290322,0.11815561959654179,0.937007874015748,0.10154125113327289,0.9149315883402737,0.7445109780439122,0.59,0.875,0.44,0.09090909090909091,0.7562189054726368,0.27,0.0665,0.41,0.952,0.56,0.769,1.2155395,0.9459555,672876288,2018628864,323.53280663490295,102220
3,0.5628580356212894,0.5059427046314396,0.5628580356212894,0.42455806192121437,0.5909069478814609,0.5628580356212894,0.5598692586182978,0.5628580356212894,0.5628580356212894,0.47346210497432256,0.7993325889352725,0.45975764803776786,0.44178454842219805,0.22178988326848248,0.7444933920704846,0.16396761133603238,0.20512820512820512,0.13119026933101652,0.8326403326403327,0.8472222222222222,0.08875739644970414,0.9664256198347108,0.09735202492211838,0.940793754066363,0.810379241516966,0.57,0.845,0.405,0.08080808080808081,0.7512437810945274,0.4005,0.122,0.45,0.9355,0.625,0.723,1.0298591,0.8664311,672876288,2691505152,323.3516216278076,102220
4,0.6082699718779294,0.5521856165551436,0.6082699718779294,0.4582526778826877,0.655730891155624,0.6082699718779294,0.5833732448415395,0.6082699718779294,0.6082699718779294,0.47364471599347785,0.8005032972517037,0.5294610498422102,0.5329512893982808,0.14285714285714285,0.6401384083044983,0.21904761904761905,0.19791666666666666,0.11883408071748879,0.8129154795821463,0.8339529120198265,0.13725490196078433,0.9887829500841279,0.1189873417721519,0.9400977995110025,0.7425149700598802,0.7,0.925,0.345,0.1919191919191919,0.7910447761194029,0.428,0.3365,0.42,0.8815,0.47,0.769,0.96128166,0.85874474,672876288,3364381440,327.41215920448303,102220
5,0.5966045203624623,0.541783269997165,0.5966045203624623,0.45809853985622206,0.6318536418981928,0.5966045203624623,0.6048168795079824,0.5966045203624623,0.5966045203624623,0.48119612126325134,0.8098934118756786,0.5440690212001138,0.5489655172413793,0.15789473684210525,0.6984732824427481,0.1875,0.15942028985507245,0.13128729752770674,0.862356621480709,0.8259109311740891,0.17073170731707318,0.9741602067183462,0.10646387832699619,0.951188986232791,0.7944111776447106,0.75,0.915,0.51,0.2222222222222222,0.7661691542288557,0.4135,0.204,0.42,0.9425,0.56,0.76,0.95410305,0.8181213,672876288,4037257728,322.46487641334534,102220
6,0.7309655244245391,0.6809335832577569,0.7309655244245391,0.5216466163495033,0.753475441475627,0.7309655244245391,0.5823684273620707,0.7309655244245391,0.7309655244245391,0.5036407646447543,0.8018411459371122,0.5235617977557824,0.4856156501726122,0.26180257510729615,0.776255707762557,0.1994219653179191,0.168141592920354,0.22409638554216868,0.8408602150537634,0.7860441251924064,0.23270440251572327,0.9704232534421213,0.13466334164588528,0.963659961064244,0.8423153692614771,0.61,0.85,0.345,0.1919191919191919,0.4626865671641791,0.5865,0.766,0.37,0.9515,0.27,0.7425,0.8636216,0.6947314,672876288,4710134016,325.5733857154846,102220
7,0.6959691698781377,0.6431387894170368,0.6959691698781377,0.5081943665338728,0.7256954123276771,0.6959691698781377,0.5965530943239407,0.6959691698781377,0.6959691698781377,0.500781708675352,0.7955980115948095,0.5467884675529326,0.41137440758293836,0.15,0.7405857740585774,0.35802469135802467,0.13991769547325103,0.3143939393939394,0.7957166392092258,0.8085365853658537,0.23841059602649006,0.9796344647519583,0.12028725314183124,0.9524984577421345,0.8662674650698603,0.81,0.885,0.29,0.3434343434343434,0.4129353233830846,0.483,0.663,0.36,0.938,0.335,0.772,0.80685514,0.68680006,672876288,5383010304,320.9953923225403,102220
8,0.7080512446620144,0.6575299417887757,0.7080512446620143,0.5174061057730571,0.7358440932312469,0.7080512446620144,0.6088070735131575,0.7080512446620144,0.7080512446620144,0.5109254220151003,0.8184281098319007,0.5486002316625765,0.5363057324840764,0.19363395225464192,0.7945205479452054,0.3157894736842105,0.09871244635193133,0.16238317757009346,0.9234856535600425,0.7841892671667628,0.26875,0.9758478931140802,0.13538461538461538,0.9421023046655425,0.8403193612774451,0.73,0.87,0.39,0.23232323232323232,0.6915422885572139,0.4345,0.6795,0.43,0.9495,0.22,0.838,0.8542359,0.74730617,672876288,6055886592,322.06500577926636,102220
9,0.710655140089574,0.6596430654348474,0.710655140089574,0.514630917036983,0.7416542493194298,0.710655140089574,0.6038952934625247,0.710655140089574,0.710655140089574,0.5075959648003077,0.8081932409393313,0.5500927394852368,0.5563380281690141,0.13682432432432431,0.7682403433476395,0.3586206896551724,0.11567164179104478,0.22244094488188976,0.8275276125743416,0.80098414434117,0.23391812865497075,0.9866023579849946,0.13114754098360656,0.9528358208955224,0.7884231536926147,0.81,0.895,0.26,0.31313131313131315,0.5621890547263682,0.487,0.7325,0.4,0.9205,0.28,0.798,0.73345745,0.6930575,672876288,6728762880,333.9368453025818,102220
