epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_corn,precision_fodder,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_wheat,recall_corn,recall_fodder,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.2640349963545464,0.17863607393737968,0.2640349963545464,0.152992619911238,0.2581693026842163,0.2640349963545464,0.2618442132770491,0.2640349963545464,0.2640349963545464,0.2572380985281891,0.558607974414484,0.0,0.0,0.029836381135707413,0.05334190231362468,0.10810810810810811,0.0546875,0.09295774647887324,0.332089552238806,0.8470149253731343,0.0,0.9318181818181818,0.10668229777256741,0.5303205870992661,0.0,0.31,0.415,0.08,0.1414141414141414,0.6567164179104478,0.2225,0.1135,0.0,0.0615,0.455,0.6865,2.8389528,1.9992895,672876288,672876288,570.0341019630432,102220
1,0.477554421414436,0.41349261980549123,0.477554421414436,0.31840926227660876,0.4870207268307525,0.477554421414436,0.4663330995178346,0.477554421414436,0.477554421414436,0.37447521922635224,0.7213895379618644,0.32670556213552876,0.2776679841897233,0.11627906976744186,0.2893772893772894,0.1172106824925816,0.08108108108108109,0.13034623217922606,0.6457564575645757,0.8717948717948718,0.06910569105691057,0.8962779156327544,0.09577922077922078,0.9030261348005502,0.5608782435129741,0.55,0.79,0.395,0.030303030303030304,0.6368159203980099,0.2625,0.051,0.17,0.903,0.59,0.6565,2.0619855,1.411182,672876288,1345752576,333.47396445274353,102220
2,0.5192167482553901,0.4591930647797472,0.5192167482553901,0.39341071950803747,0.5426786214394429,0.5192167482553901,0.5293195293417386,0.5192167482553901,0.5192167482553901,0.44814961253695884,0.7761358842358814,0.44986564147622377,0.3272425249169435,0.19791666666666666,0.7227272727272728,0.13054187192118227,0.1839080459770115,0.14810562571756603,0.7348119575699132,0.8855721393034826,0.058355437665782495,0.9334637964774951,0.09695603156708005,0.9581939799331104,0.7864271457085829,0.57,0.795,0.53,0.16161616161616163,0.6417910447761194,0.381,0.089,0.44,0.954,0.43,0.573,1.5320413,1.2009383,672876288,2018628864,337.07605743408203,102220
3,0.5799395896260806,0.5228249236342208,0.5799395896260806,0.44187040427125507,0.625097310244028,0.5799395896260806,0.5750676293275051,0.5799395896260806,0.5799395896260806,0.46899814638579684,0.7968150077580243,0.5280826512825864,0.5143266475644699,0.16017316017316016,0.7733333333333333,0.16666666666666666,0.1323529411764706,0.1346153846153846,0.8025415444770283,0.8438538205980066,0.07312614259597806,0.9579320831221491,0.11428571428571428,0.9547703180212014,0.716566866267465,0.74,0.87,0.36,0.2727272727272727,0.6965174129353234,0.4105,0.254,0.4,0.945,0.56,0.6755,1.317007,1.0999019,672876288,2691505152,338.7529592514038,102220
4,0.5638995937923132,0.5087315799793822,0.5638995937923132,0.43631247579780674,0.5960651719299991,0.5638995937923132,0.6049352575190341,0.5638995937923132,0.5638995937923132,0.47163363492865296,0.8099283204094729,0.5423678519568313,0.556497175141243,0.13588850174216027,0.6193771626297578,0.14302884615384615,0.18666666666666668,0.14228456913827656,0.8456140350877193,0.8632478632478633,0.14195583596214512,0.9810526315789474,0.10990990990990991,0.9340804218852999,0.7864271457085829,0.78,0.895,0.595,0.2828282828282828,0.7064676616915423,0.3615,0.1515,0.45,0.932,0.61,0.7085,1.2763914,1.0939301,672876288,3364381440,342.3181746006012,102220
5,0.5993125716071243,0.5449129501579588,0.5993125716071243,0.4560102045957193,0.6250700561544963,0.5993125716071243,0.6127713226118244,0.5993125716071243,0.5993125716071243,0.4897857799138412,0.8262211400883632,0.5391087547684519,0.575,0.16032064128256512,0.7317073170731707,0.19959266802443992,0.15492957746478872,0.1349957007738607,0.8721590909090909,0.9023569023569024,0.1319796954314721,0.961,0.1062753036437247,0.947112462006079,0.780439121756487,0.8,0.9,0.49,0.2222222222222222,0.7810945273631841,0.4605,0.134,0.52,0.961,0.525,0.779,1.2411119,1.0010515,672876288,4037257728,338.1659014225006,102220
6,0.636287886678471,0.5811292462964542,0.636287886678471,0.4712600073357171,0.6810930866824748,0.636287886678471,0.6037194997536963,0.636287886678471,0.636287886678471,0.4736346078328986,0.7992009295457091,0.5596580736754015,0.5217391304347826,0.1368584758942457,0.6715867158671587,0.25888324873096447,0.1295774647887324,0.19322033898305085,0.7801179443976411,0.85,0.07421875,0.9681818181818181,0.1345514950166113,0.9646799116997793,0.8383233532934131,0.88,0.91,0.255,0.46464646464646464,0.5671641791044776,0.463,0.4675,0.38,0.9585,0.405,0.6555,1.1202165,0.9956289,672876288,4710134016,339.94841718673706,102220
7,0.614935944172482,0.5599955958524205,0.614935944172482,0.47446613900635365,0.6510959894226199,0.614935944172482,0.6259653105969578,0.614935944172482,0.614935944172482,0.4957391728114214,0.8118693564026997,0.5779659975546025,0.5964125560538116,0.12375533428165007,0.7368421052631579,0.30049261083743845,0.0953125,0.2146690518783542,0.82186616399623,0.8844827586206897,0.17543859649122806,0.9367760617760618,0.11439466158245949,0.9484276729559749,0.7964071856287425,0.87,0.91,0.305,0.6161616161616161,0.5970149253731343,0.436,0.2565,0.4,0.9705,0.6,0.754,1.1958177,0.95024,672876288,5383010304,343.8021876811981,102220
8,0.6011873763149672,0.5455631200204183,0.6011873763149672,0.47231231695245324,0.6428698712523911,0.6011873763149672,0.6241250502537815,0.6011873763149672,0.6011873763149672,0.5047114123746065,0.816722693157973,0.5743488941750859,0.7695852534562212,0.10482921083627797,0.6879699248120301,0.32242990654205606,0.12618296529968454,0.15569487983281086,0.7307692307692307,0.8893709327548807,0.19011406844106463,0.9883103081827843,0.12168344007319305,0.969596827495043,0.6666666666666666,0.89,0.915,0.345,0.40404040404040403,0.7412935323383084,0.494,0.205,0.5,0.93,0.665,0.7335,1.093572,0.99699676,672876288,6055886592,343.31618547439575,102220
9,0.6771169669826059,0.6260155021538307,0.6771169669826059,0.5217005690274266,0.7043591120250395,0.6771169669826059,0.6372313871051806,0.6771169669826059,0.6771169669826059,0.5271804351681822,0.8296743248124205,0.5909129020417481,0.627906976744186,0.24734982332155478,0.7767857142857143,0.25,0.24509803921568626,0.1662870159453303,0.8842794759825328,0.8813008130081301,0.24545454545454545,0.9746063991874048,0.10876132930513595,0.9183350895679663,0.8083832335329342,0.7,0.87,0.5,0.25252525252525254,0.7263681592039801,0.6075,0.271,0.54,0.9595,0.54,0.8715,1.0706414,0.86955374,672876288,6728762880,336.8314709663391,102220
10,0.6802416414956776,0.6292001677281853,0.6802416414956776,0.5183870326613025,0.7184595522496604,0.6802416414956776,0.6381897494773758,0.6802416414956776,0.6802416414956776,0.5183125337293876,0.8260900137495573,0.6030309397753683,0.6356340288924559,0.148479427549195,0.7479674796747967,0.3173913043478261,0.11581920903954802,0.21428571428571427,0.8649754500818331,0.8661825726141079,0.2808219178082192,0.9707513867876955,0.12022471910112359,0.9372171945701357,0.7904191616766467,0.83,0.92,0.365,0.41414141414141414,0.6567164179104478,0.5285,0.4175,0.41,0.9625,0.535,0.8285,1.1055987,0.87444913,672876288,7401639168,346.83619499206543,102220
11,0.7050307259660452,0.6546971163255468,0.7050307259660452,0.5358862515672622,0.7382295538065118,0.7050307259660452,0.6377768844566257,0.7050307259660452,0.7050307259660452,0.5359631383922504,0.8278322217743999,0.6084923325075032,0.802439024390244,0.21114369501466276,0.756198347107438,0.3456221198156682,0.1286549707602339,0.19674556213017752,0.7952669235002752,0.8591859185918592,0.26136363636363635,0.9866048428645028,0.12926829268292683,0.9590643274853801,0.656686626746507,0.72,0.915,0.375,0.4444444444444444,0.6616915422885572,0.7225,0.3905,0.46,0.9575,0.53,0.82,1.0850306,0.83727455,672876288,8074515456,340.49231123924255,102220
12,0.68253306947193,0.6318125382623672,0.68253306947193,0.5181166148918567,0.7248848003120536,0.68253306947193,0.6510145273300828,0.68253306947193,0.68253306947193,0.5153125567981592,0.8292712210929117,0.6153892285313936,0.734251968503937,0.13964686998394862,0.7181467181467182,0.30584192439862545,0.15714285714285714,0.1625668449197861,0.8298192771084337,0.871968962172648,0.18006430868167203,0.9844479004665629,0.14622641509433962,0.9536266349583828,0.7445109780439122,0.87,0.93,0.445,0.4444444444444444,0.7562189054726368,0.551,0.4495,0.56,0.9495,0.31,0.802,1.0570688,0.85768825,672876288,8747391744,328.01970171928406,102220
13,0.6877408603270493,0.6374488356092132,0.6877408603270493,0.528914133718594,0.7208956088767913,0.6877408603270493,0.6541066878003378,0.6877408603270493,0.6877408603270493,0.5318403641197457,0.8346499299915499,0.622469819950475,0.72552783109405,0.1569767441860465,0.8101851851851852,0.30606060606060603,0.12534818941504178,0.17476851851851852,0.8689048760991207,0.8974358974358975,0.29545454545454547,0.9796954314720813,0.1342062193126023,0.907520325203252,0.7544910179640718,0.81,0.875,0.505,0.45454545454545453,0.7512437810945274,0.5435,0.3675,0.52,0.965,0.41,0.893,1.0286956,0.8416678,672876288,9420268032,336.5251429080963,102220
14,0.6985730653056973,0.6460126141245295,0.6985730653056973,0.5187024081228785,0.7390361423786783,0.6985730653056973,0.6125411030795336,0.6985730653056973,0.6985730653056973,0.5288659783495313,0.8122728651919625,0.5606911194923563,0.8371428571428572,0.11479591836734694,0.7327935222672065,0.35668789808917195,0.09611451942740286,0.20261437908496732,0.7579710144927536,0.8167281672816729,0.3333333333333333,0.9864653826132223,0.1553030303030303,0.9564417177914111,0.5848303393213573,0.9,0.905,0.28,0.47474747474747475,0.6169154228855721,0.523,0.664,0.47,0.9475,0.205,0.7795,1.0301363,0.9014473,672876288,10093144320,349.36379075050354,102220
