epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_corn,precision_fodder,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_wheat,recall_corn,recall_fodder,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.3403812102905947,0.23910758225389483,0.3403812102905947,0.17551428246058356,0.3467558580616158,0.3403812102905947,0.2283372531282979,0.3403812102905947,0.3403812102905947,0.23742338647946884,0.5067103017414174,0.0,0.0,0.0270042194092827,0.040930979133226325,0.08385093167701864,0.054878048780487805,0.09171597633136094,0.43169398907103823,0.7907634307257304,0.0,0.7357512953367875,0.16,0.43249176728869376,0.0,0.32,0.255,0.27,0.18181818181818182,0.15422885572139303,0.1185,0.4195,0.0,0.213,0.02,0.788,2.816916,1.9973949,672876288,672876288,341.7775511741638,102220
1,0.46609728153317365,0.3939387752224439,0.46609728153317365,0.3280642030530416,0.4903016392959572,0.46609728153317365,0.4556976646360527,0.46609728153317365,0.46609728153317365,0.36460615902966703,0.6706377436151851,0.3968033570289893,0.3143350604490501,0.08705882352941176,0.41304347826086957,0.12075983717774763,0.09577464788732394,0.13225058004640372,0.5466399197592778,0.8132530120481928,0.03560830860534125,0.7441222570532915,0.1259259259259259,0.9465020576131687,0.36327345309381237,0.74,0.665,0.445,0.3434343434343434,0.5671641791044776,0.2725,0.2025,0.12,0.9495,0.34,0.46,2.1147616,1.457127,672876288,1345752576,337.7243273258209,102220
2,0.5186959691698781,0.4599378260871153,0.5186959691698781,0.3604909487593968,0.5187972228402382,0.5186959691698781,0.5181635195235942,0.5186959691698781,0.5186959691698781,0.434771378709122,0.7886252634856451,0.3650049329512346,0.35607675906183367,0.1990521327014218,0.45232273838630804,0.1156677181913775,0.2,0.12071917808219178,0.8842794759825328,0.8686131386861314,0.07074569789674952,0.9568567026194145,0.10932798395185557,0.8835950189496481,0.6666666666666666,0.42,0.925,0.55,0.030303030303030304,0.7014925373134329,0.2025,0.0595,0.37,0.9315,0.545,0.816,1.6459639,1.2014495,672876288,2018628864,350.8846218585968,102220
3,0.5491094677637746,0.4925369429543851,0.5491094677637746,0.4064703582580084,0.5803001192845207,0.5491094677637746,0.5697811184505707,0.5491094677637746,0.5491094677637746,0.45685382976419536,0.7962091806898359,0.4631107095945983,0.4465478841870824,0.12111801242236025,0.6169491525423729,0.13343799058084774,0.23076923076923078,0.13721804511278196,0.8668076109936576,0.8229007633587786,0.0855397148676171,0.9653944020356234,0.12323232323232323,0.9323308270676691,0.8003992015968064,0.78,0.91,0.425,0.06060606060606061,0.7263681592039801,0.205,0.2695,0.42,0.9485,0.61,0.682,1.4959192,1.1525338,672876288,2691505152,349.36796498298645,102220
4,0.5751484220393709,0.5198800830520551,0.5751484220393709,0.4314374586950611,0.5905813537583007,0.5751484220393709,0.5871778950767242,0.5751484220393709,0.5751484220393709,0.48585096427636043,0.8155860814632043,0.45184930358461617,0.5630372492836676,0.18622448979591838,0.6917293233082706,0.17048346055979643,0.22857142857142856,0.11636107193229901,0.8831030818278427,0.8531468531468531,0.13008130081300814,0.975785677485832,0.10509803921568628,0.9265895953757225,0.7844311377245509,0.73,0.92,0.335,0.08080808080808081,0.8208955223880597,0.4155,0.061,0.48,0.947,0.67,0.8015,1.2538117,1.0418781,672876288,3364381440,349.33181142807007,102220
5,0.5907717946047287,0.5361526176149407,0.5907717946047287,0.4494161247899746,0.6229010838487442,0.5907717946047287,0.6028161872395719,0.5907717946047287,0.5907717946047287,0.4895092155659999,0.8186633015128623,0.5133675253691529,0.5085365853658537,0.1436265709156194,0.7244094488188977,0.21686746987951808,0.2413793103448276,0.13624678663239073,0.867178924259056,0.863961813842482,0.13648293963254593,0.981675392670157,0.1085899513776337,0.9451553930530164,0.8323353293413174,0.8,0.92,0.27,0.1414141414141414,0.7910447761194029,0.395,0.181,0.52,0.9375,0.67,0.7755,1.1961136,0.99340916,672876288,4037257728,341.1804983615875,102220
6,0.6123320487449224,0.5564355642709885,0.6123320487449224,0.45932940103632397,0.6601040381713239,0.6123320487449224,0.5979470524502029,0.6123320487449224,0.6123320487449224,0.4738397330967857,0.8056898502010471,0.5482909149982518,0.6830188679245283,0.15576923076923077,0.5080213903743316,0.1299254526091587,0.22093023255813954,0.16318537859007834,0.8068441064638783,0.8454882571075402,0.13649851632047477,0.9690040650406504,0.10872675250357654,0.958664546899841,0.7225548902195609,0.81,0.95,0.61,0.1919191919191919,0.6218905472636815,0.5305,0.342,0.46,0.9535,0.38,0.603,1.1022962,0.9959471,672876288,4710134016,333.9653193950653,102220
7,0.6708676179564629,0.617439033962683,0.6708676179564629,0.4973072849771653,0.7011542666030957,0.6708676179564629,0.5982822212126327,0.6708676179564629,0.6708676179564629,0.5028884836190375,0.8055162771063024,0.539510945983762,0.453416149068323,0.1457975986277873,0.8084112149532711,0.23465703971119134,0.16666666666666666,0.23529411764705882,0.8664495114006515,0.8373245251857968,0.29411764705882354,0.9488943488943489,0.11244541484716157,0.9311875693673696,0.874251497005988,0.85,0.865,0.325,0.2222222222222222,0.5174129353233831,0.399,0.507,0.3,0.9655,0.515,0.839,1.1386623,0.9308175,672876288,5383010304,343.9325475692749,102220
8,0.6689928132486199,0.6160828486562443,0.6689928132486199,0.50007507615392,0.7005155002656736,0.6689928132486199,0.6066573999596164,0.6689928132486199,0.6689928132486199,0.49681838003265083,0.8096708051676622,0.5604125380657433,0.5240443896424167,0.19939577039274925,0.6779026217228464,0.2,0.21782178217821782,0.2264957264957265,0.8697042366107114,0.8505214368482039,0.20670391061452514,0.9355769230769231,0.1061611374407583,0.9474926253687316,0.8483033932135728,0.66,0.905,0.5,0.2222222222222222,0.527363184079602,0.544,0.367,0.37,0.973,0.56,0.803,1.1441989,0.8928834,672876288,6055886592,358.7515127658844,102220
9,0.6437871055098427,0.5910026007965774,0.6437871055098427,0.49251314381794065,0.6784837719914614,0.6437871055098427,0.6312009927454002,0.6437871055098427,0.6437871055098427,0.5011874455022499,0.8210567421808024,0.5818749109029488,0.6283987915407855,0.14882032667876588,0.6863468634686347,0.24262295081967214,0.18292682926829268,0.1755050505050505,0.8837209302325582,0.847672778561354,0.2,0.9636454183266933,0.11398963730569948,0.9405997693194925,0.8303393213572854,0.82,0.93,0.37,0.30303030303030304,0.6915422885572139,0.456,0.3005,0.43,0.9675,0.66,0.8155,1.1480876,0.92635465,672876288,6728762880,332.88652181625366,102220
