epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_corn,precision_fodder,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_wheat,recall_corn,recall_fodder,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.32757004478700136,0.23052603163810814,0.32757004478700136,0.16929047538649386,0.34007332116514766,0.32757004478700136,0.23110048243630332,0.32757004478700136,0.32757004478700136,0.25189825113939196,0.5578873994240231,0.0,0.0,0.02849264705882353,0.054694621695533276,0.10270270270270271,0.025830258302583026,0.08489525909592062,0.287248322147651,0.7444581280788177,0.0,0.9574468085106383,0.08333333333333333,0.6536769327467001,0.0,0.31,0.3,0.095,0.21212121212121213,0.38308457711442784,0.321,0.6045,0.0,0.0225,0.005,0.52,2.8149421,2.0241814,672876288,672876288,498.4492723941803,102220
1,0.5175502551817519,0.45067443024704346,0.5175502551817519,0.34746725935992884,0.5567171539211861,0.5175502551817519,0.4599507858623173,0.5175502551817519,0.5175502551817519,0.38170624790639057,0.7149309165636983,0.3762851745418212,0.3857758620689655,0.12385321100917432,0.29294755877034356,0.10537190082644628,0.14035087719298245,0.10281124497991968,0.6663533834586466,0.8088235294117647,0.054901960784313725,0.8604431871758604,0.1168032786885246,0.9220389805097451,0.35728542914171657,0.54,0.81,0.255,0.08080808080808081,0.6368159203980099,0.3545,0.2475,0.14,0.9125,0.57,0.615,2.0315607,1.3843805,672876288,1345752576,350.15933632850647,102220
2,0.49609415685866054,0.4318674686306144,0.49609415685866054,0.3733582112630327,0.5245880133190953,0.49609415685866054,0.4737871353629241,0.49609415685866054,0.49609415685866054,0.43019101022483425,0.7448305066322743,0.3933807101799463,0.20319634703196346,0.2413793103448276,0.736318407960199,0.12138728323699421,0.1518987341772152,0.1839080459770115,0.6847290640394089,0.8450363196125908,0.04582210242587601,0.9052132701421801,0.08872901678657075,0.9546742209631728,0.8882235528942116,0.56,0.74,0.525,0.12121212121212122,0.39800995024875624,0.278,0.1745,0.17,0.955,0.37,0.5055,1.5492817,1.2114056,672876288,2018628864,440.8477339744568,102220
3,0.5580668680345797,0.5000169802827312,0.5580668680345797,0.4250158951680169,0.5707236364344207,0.5580668680345797,0.5617862239865211,0.5580668680345797,0.5580668680345797,0.47467627529584666,0.7901568256524063,0.45587430710843174,0.31087719298245614,0.29,0.7772727272727272,0.2,0.171875,0.17407878017789072,0.8296089385474861,0.8621908127208481,0.10803324099722991,0.947942488844819,0.1025965801139962,0.9216395418927065,0.8842315369261478,0.58,0.855,0.29,0.1111111111111111,0.681592039800995,0.297,0.122,0.39,0.956,0.81,0.7645,1.3139036,1.0686916,672876288,2691505152,429.4847388267517,102220
4,0.5930632225809811,0.5376447279668639,0.5930632225809811,0.44665509831854955,0.6136375727585472,0.5930632225809811,0.5924376862511973,0.5930632225809811,0.5930632225809811,0.4830822911238483,0.8102001357466802,0.49502080650379243,0.42534381139489197,0.20689655172413793,0.7276422764227642,0.2767857142857143,0.1518987341772152,0.1273344651952462,0.8770685579196218,0.8559556786703602,0.1396103896103896,0.9736161407139162,0.10749185667752444,0.9273433166943982,0.8642714570858283,0.78,0.895,0.31,0.12121212121212122,0.746268656716418,0.371,0.1545,0.43,0.941,0.66,0.836,1.239012,1.0028048,672876288,3364381440,327.22979497909546,102220
5,0.6364961983126758,0.5800698582494883,0.6364961983126758,0.4729424438092848,0.6863379592917265,0.6364961983126758,0.5623149784781409,0.6364961983126758,0.6364961983126758,0.4829001022511395,0.7987475381829402,0.5041938222202148,0.5742128935532234,0.24152542372881355,0.7603686635944701,0.13897280966767372,0.15306122448979592,0.12193126022913257,0.8043321299638989,0.7923008057296329,0.13592233009708737,0.9790794979079498,0.11877394636015326,0.974320241691843,0.7644710578842315,0.57,0.825,0.23,0.15151515151515152,0.7412935323383084,0.557,0.4425,0.42,0.936,0.465,0.645,1.0878816,1.0781267,672876288,4037257728,331.19909501075745,102220
6,0.6806582647640871,0.6284319893127766,0.6806582647640871,0.5138818349832613,0.722575724645209,0.6806582647640871,0.5994241765601919,0.6806582647640871,0.6806582647640871,0.5112974905198867,0.814987976708062,0.5532199919160857,0.6175548589341693,0.3357664233576642,0.7639484978540773,0.1978494623655914,0.1417910447761194,0.14033457249070633,0.864516129032258,0.7934027777777778,0.2145922746781116,0.978328173374613,0.12322274881516587,0.9642629227823867,0.7864271457085829,0.46,0.89,0.46,0.1919191919191919,0.7512437810945274,0.603,0.457,0.5,0.948,0.39,0.7555,1.0689682,0.9775899,672876288,4710134016,330.7594497203827,102220
7,0.694719300072909,0.6434318994071184,0.694719300072909,0.5199141258611321,0.7342434581922045,0.694719300072909,0.6113539644290494,0.694719300072909,0.694719300072909,0.508509175441871,0.8169830001591142,0.5682282871045954,0.6559865092748736,0.33532934131736525,0.6642599277978339,0.20417633410672853,0.16230366492146597,0.13949275362318841,0.8410513141426783,0.816260162601626,0.19591836734693877,0.9778236204228984,0.1361111111111111,0.9733969986357435,0.7764471057884231,0.56,0.92,0.44,0.31313131313131315,0.7661691542288557,0.672,0.502,0.48,0.948,0.245,0.7135,1.0901313,0.9215751,672876288,5383010304,334.0784378051758,102220
8,0.683887095094261,0.6328388308299038,0.683887095094261,0.5053060585205541,0.7245540509660191,0.683887095094261,0.6240186324922896,0.683887095094261,0.683887095094261,0.5000501181094924,0.8259944747677661,0.5873574397205018,0.6234756097560976,0.17516629711751663,0.7405857740585774,0.24362606232294617,0.08968609865470852,0.17582417582417584,0.9130009775171065,0.8175182481751825,0.15282392026578073,0.9702471003530005,0.14148681055155876,0.9571603427172583,0.8163672654690619,0.79,0.885,0.43,0.40404040404040403,0.6368159203980099,0.467,0.56,0.46,0.962,0.295,0.782,1.012562,0.93920434,672876288,6055886592,328.3056423664093,102220
9,0.7233621497760649,0.6754821211914741,0.7233621497760649,0.5397746262622022,0.7539302562512634,0.7233621497760649,0.6280955833696695,0.7233621497760649,0.7233621497760649,0.5242817271167645,0.8267742665989183,0.5822436464661581,0.5595854922279793,0.3253012048192771,0.7678571428571429,0.260752688172043,0.13432835820895522,0.1655982905982906,0.8930594900849859,0.8435980551053485,0.263681592039801,0.978117048346056,0.15680473372781065,0.9426966292134832,0.8622754491017964,0.54,0.86,0.485,0.2727272727272727,0.7711442786069652,0.6305,0.5205,0.53,0.961,0.265,0.839,1.0341208,0.83003134,672876288,6728762880,329.2359263896942,102220
10,0.6614935944172482,0.6098718741379707,0.6614935944172482,0.5094009878031499,0.6962469421057034,0.6614935944172482,0.6304999231523385,0.6614935944172482,0.6614935944172482,0.5210513184218687,0.831177592182649,0.5734807980700873,0.6379585326953748,0.2,0.8215962441314554,0.3366013071895425,0.13714285714285715,0.11662198391420911,0.8963607594936709,0.8413461538461539,0.20863309352517986,0.9885057471264368,0.1317365269461078,0.9361126150514347,0.7984031936127745,0.72,0.875,0.515,0.24242424242424243,0.8656716417910447,0.5665,0.2625,0.58,0.946,0.33,0.8645,0.9947239,0.877049,672876288,7401639168,328.9099600315094,102220
11,0.7310696802416415,0.6841222211319098,0.7310696802416415,0.5449952777311774,0.7677375991508252,0.7310696802416415,0.6488626135712895,0.7310696802416415,0.7310696802416415,0.531086330704141,0.836614460802621,0.6067773172493934,0.7018181818181818,0.21098265895953758,0.756198347107438,0.30115830115830117,0.09533073929961089,0.19482288828337874,0.8888091822094691,0.8324607329842932,0.2616822429906542,0.9868559411146162,0.1826086956521739,0.9603080568720379,0.7704590818363274,0.73,0.915,0.39,0.494949494949495,0.7114427860696517,0.6195,0.636,0.56,0.9385,0.21,0.8105,1.0742936,0.85275865,672876288,8074515456,331.99894642829895,102220
12,0.7172169565670242,0.6688830712062883,0.7172169565670242,0.5368257609896234,0.7536452315598917,0.7172169565670242,0.6385370541519103,0.7172169565670242,0.7172169565670242,0.5321912871799802,0.833011613117194,0.5862703650270124,0.646677471636953,0.1906005221932115,0.7965367965367965,0.4114285714285714,0.09598214285714286,0.1632870864461046,0.8997594226142742,0.8250728862973761,0.27979274611398963,0.9905013192612138,0.1450980392156863,0.9415584415584416,0.7964071856287425,0.73,0.92,0.36,0.43434343434343436,0.7611940298507462,0.561,0.566,0.54,0.9385,0.185,0.87,1.0271256,0.8592346,672876288,8747391744,342.0664508342743,102220
13,0.746901364441204,0.7005026033392356,0.746901364441204,0.551314235952239,0.7778240738674634,0.746901364441204,0.6380847378437758,0.746901364441204,0.746901364441204,0.5396401471868205,0.8304314540863545,0.5977197885270218,0.7310924369747899,0.20334261838440112,0.8310502283105022,0.38421052631578945,0.12195121951219512,0.19504643962848298,0.8468354430379746,0.8334392879847425,0.21509433962264152,0.9894902785076195,0.17625899280575538,0.9478699551569507,0.6946107784431138,0.73,0.91,0.365,0.40404040404040403,0.6268656716417911,0.669,0.6555,0.57,0.9415,0.245,0.8455,0.9706769,0.79614943,672876288,9420268032,330.7086806297302,102220
14,0.7046141026976357,0.6549861077365542,0.7046141026976357,0.5297702252731489,0.7453470231505165,0.7046141026976357,0.6352792634240038,0.7046141026976357,0.7046141026976357,0.5317578958049046,0.833954376352895,0.5923258665413508,0.810304449648712,0.19035532994923857,0.7644628099173554,0.36363636363636365,0.10249307479224377,0.14504504504504503,0.8686233403214535,0.8361233480176211,0.1956521739130435,0.9869178440607012,0.17832167832167833,0.9391592920353983,0.6906187624750499,0.75,0.925,0.4,0.37373737373737376,0.8009950248756219,0.6215,0.4745,0.54,0.943,0.255,0.849,0.9461406,0.87683934,672876288,10093144320,340.4887366294861,102220
15,0.7071138423080929,0.657641174099784,0.7071138423080929,0.5278416171999036,0.7499222108900848,0.7071138423080929,0.6224165680774737,0.7071138423080929,0.7071138423080929,0.5403467177946782,0.8368196364300428,0.5517219008660078,0.7230483271375465,0.16701902748414377,0.8431372549019608,0.4520547945205479,0.1,0.1305732484076433,0.8854901960784314,0.8209606986899564,0.24336283185840707,0.9941302027748132,0.174496644295302,0.9498873873873874,0.7764471057884231,0.79,0.86,0.33,0.31313131313131315,0.8159203980099502,0.5645,0.564,0.55,0.9315,0.13,0.8435,0.95735836,0.870912,672876288,10766020608,334.2246923446655,102220
