epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_corn,precision_fodder,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_wheat,recall_corn,recall_fodder,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.20833333333333334,0.0,0.20833333333333334,0.02873563218390805,0.07183908045977012,0.20833333333333334,0.08333333333333333,0.20833333333333334,0.20833333333333334,0.017361111111111112,0.04340277777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8509803,2.4828143,202930944,202930944,110.9009919166565,102220
1,0.20875,0.000526315789473708,0.20875,0.029206245130305574,0.07301561282576392,0.20875,0.0835,0.20875,0.20875,0.0312957157784744,0.078239289446186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20888192267502612,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.0,0.0025,0.0,0.0,2.501946,2.483896,202930944,405861888,110.07301759719849,102220
2,0.20833333333333334,0.0,0.20833333333333334,0.02873563218390805,0.07183908045977012,0.20833333333333334,0.08333333333333333,0.20833333333333334,0.20833333333333334,0.017361111111111112,0.04340277777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.4871624,2.4687977,202930944,608792832,112.31698846817017,102220
3,0.3265625,0.21903882282031384,0.3265625,0.13807472397049725,0.29264515018446835,0.3265625,0.19049999999999997,0.3265625,0.3265625,0.16064818211393395,0.3229501444485779,0.0,0.14285714285714285,0.017943107221006564,0.03065134099616858,0.08695652173913043,0.03777335984095427,0.07586206896551724,0.312202852614897,0.7631257631257631,0.0,0.0,0.04824561403508772,0.41216041397153946,0.006,0.41,0.04,0.01,0.19,0.055,0.0985,0.625,0.0,0.0,0.055,0.7965,2.471423,2.1676757,202930944,811723776,110.98661041259766,102220
4,0.3723958333333333,0.2619907366057188,0.3723958333333333,0.19086752765411416,0.36177137365270917,0.3723958333333333,0.24024999999999996,0.3723958333333333,0.3723958333333333,0.26360428777701017,0.5542725357961354,0.0,0.17073170731707318,0.0,0.06243386243386243,0.12149532710280374,0.04420549581839905,0.09090909090909091,0.3485332558814987,0.7708333333333334,0.0,0.8409090909090909,0.09482758620689655,0.6183727034120735,0.098,0.0,0.295,0.065,0.37,0.11,0.6,0.4625,0.0,0.0185,0.275,0.589,2.1364672,2.0591135,202930944,1014654720,118.1853859424591,102220
5,0.41875,0.34112403000660496,0.41875,0.25678758351916586,0.48271737967125755,0.41875,0.31279166666666663,0.41875,0.41875,0.3094687855986958,0.6523343915383802,0.0,0.17995169082125603,0.03657262277951933,0.08106116433308769,0.13875598086124402,0.05345911949685535,0.08554913294797688,0.5334658714380385,0.7929334428923582,0.0,0.8088042049934296,0.0967741935483871,0.9062980030721967,0.298,0.35,0.55,0.145,0.17,0.37,0.4025,0.4825,0.0,0.6155,0.075,0.295,1.9615635,1.9747082,202930944,1217585664,121.28875541687012,102220
6,0.4170833333333333,0.3460109928236218,0.4170833333333333,0.26727580402574863,0.464545358331844,0.4170833333333333,0.3444583333333333,0.4170833333333333,0.4170833333333333,0.32771640563101395,0.6771856256004682,0.24025653283456944,0.1978476821192053,0.09154929577464789,0.11645299145299146,0.1232876712328767,0.07344632768361582,0.09872029250457039,0.6935897435897436,0.7641509433962265,0.010869565217391304,0.7598039215686274,0.06892590465249857,0.9339525283797729,0.478,0.13,0.545,0.27,0.13,0.27,0.2705,0.2025,0.01,0.775,0.6,0.4525,1.9401256,1.8186183,202930944,1420516608,113.36833095550537,102220
7,0.45,0.3753111859326703,0.45,0.29631489258177657,0.5008316502893415,0.45,0.3759166666666667,0.45,0.45,0.3391240505170212,0.6753710160345403,0.3391376248823943,0.2088142707240294,0.06944444444444445,0.2522255192878338,0.11750599520383694,0.0492379835873388,0.1077762619372442,0.5366364270760642,0.8074534161490683,0.036931818181818184,0.8268746854554605,0.1038961038961039,0.9526916802610114,0.398,0.45,0.425,0.245,0.42,0.395,0.3845,0.39,0.13,0.8215,0.16,0.292,1.8767867,1.7838396,202930944,1623447552,113.81037902832031,102220
8,0.45729166666666665,0.3899996829013068,0.45729166666666665,0.30420915419096906,0.4893336649590658,0.45729166666666665,0.43100000000000005,0.45729166666666665,0.45729166666666665,0.3503169155255041,0.6912155834505358,0.3575915486392888,0.26691266912669126,0.07230392156862746,0.20182291666666666,0.13079470198675497,0.06896551724137931,0.1431924882629108,0.5463917525773195,0.8540925266903915,0.05333333333333334,0.8961864406779662,0.08075772681954138,0.8890489913544669,0.434,0.59,0.775,0.395,0.34,0.305,0.265,0.12,0.08,0.846,0.405,0.617,1.7589605,1.6264541,202930944,1826378496,113.83521389961243,102220
9,0.4415625,0.36562547378775045,0.4415625000000001,0.29723182144974086,0.4593245024623236,0.4415625,0.39070833333333327,0.4415625,0.4415625,0.3888112004619661,0.6907124210931144,0.3309962536261899,0.23179396092362345,0.1111111111111111,0.7647058823529411,0.10820895522388059,0.0664451827242525,0.10794896957801767,0.6654643823264202,0.8252252252252252,0.041237113402061855,0.6899674031148135,0.0953757225433526,0.9582504970178927,0.522,0.52,0.26,0.435,0.2,0.55,0.369,0.229,0.08,0.9525,0.33,0.241,1.6535684,1.7427183,202930944,2029309440,110.81555104255676,102220
