epoch,accuracy,kappa,f1_micro,f1_macro,f1_weighted,recall_micro,recall_macro,recall_weighted,precision_micro,precision_macro,precision_weighted,gmean,precision_barley,precision_wheat,precision_corn,precision_fodder,precision_misc.,precision_orchards,precision_cereals,precision_perm._meadows,precision_protein_crops,precision_rapeseed,precision_temp._meadows,precision_vegetables,recall_barley,recall_wheat,recall_corn,recall_fodder,recall_misc.,recall_orchards,recall_cereals,recall_perm._meadows,recall_protein_crops,recall_rapeseed,recall_temp._meadows,recall_vegetables,trainloss,valloss,FLOPs_per_epoch,cumulative_FLOPs,runtime_per_epoch,Params
0,0.20833333333333334,0.0,0.20833333333333334,0.02873563218390805,0.07183908045977012,0.20833333333333334,0.08333333333333333,0.20833333333333334,0.20833333333333334,0.017361111111111112,0.04340277777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.9170623,2.0006084,202930944,202930944,114.04474568367004,102220
1,0.2178125,0.011973684210526359,0.21781250000000002,0.0361909398100427,0.09047734952510673,0.2178125,0.08712500000000001,0.2178125,0.2178125,0.08130450788057021,0.20326126970142552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21094821221390148,0.7647058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0455,0.0,0.0,0.0,0.0,1.918365,1.9442483,202930944,405861888,110.36001014709473,102220
2,0.5688541666666667,0.4553947368421053,0.5688541666666667,0.20352200323687705,0.5088050080921925,0.5688541666666667,0.22754166666666667,0.5688541666666667,0.5688541666666667,0.19415469834202345,0.48538674585505864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5156445556946183,0.6517467248908297,0.0,0.684923076923077,0.0,0.4775420225957564,0.0,0.0,0.0,0.0,0.0,0.0,0.412,0.8955,0.0,0.5565,0.0,0.8665,1.9031744,1.4670715,202930944,608792832,114.83638429641724,102220
3,0.641875,0.5476315789473685,0.641875,0.23006172916304024,0.5751543229076006,0.641875,0.25675,0.641875,0.641875,0.21600401915125675,0.5400100478781419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6512635379061372,0.6991643454038997,0.0,0.6818360141231855,0.0,0.5597843323818585,0.0,0.0,0.0,0.0,0.0,0.0,0.451,0.8785,0.0,0.869,0.0,0.8825,1.3278115,1.2681756,202930944,811723776,110.34219598770142,102220
4,0.6919791666666667,0.6113205997124667,0.6919791666666667,0.25835307047094686,0.6384963125410036,0.6919791666666667,0.2784166666666667,0.6919791666666667,0.6919791666666667,0.26329989338068277,0.6176247334517069,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.5357381429525718,0.6527050610820244,0.0,0.9052573932092004,0.0,0.8058981233243968,0.026,0.0,0.0,0.0,0.0,0.0,0.802,0.935,0.0,0.8265,0.0,0.7515,1.2287085,1.1598126,202930944,1014654720,109.78676199913025,102220
5,0.7132291666666667,0.6403892626216445,0.7132291666666667,0.2945265681292422,0.6720502101982788,0.7132291666666667,0.3032916666666667,0.7132291666666667,0.7132291666666667,0.33750549429998683,0.6597359579721893,0.0,0.2777777777777778,0.0,0.75,0.0,0.0,0.0,0.5516655336505778,0.7007384376214536,0.0,0.9196563921172309,0.0,0.8502277904328018,0.18,0.0,0.09,0.0,0.0,0.0,0.8115,0.9015,0.0,0.91,0.0,0.7465,1.0721059,1.0551759,202930944,1217585664,108.13990497589111,102220
6,0.7348958333333333,0.6680903785334682,0.7348958333333333,0.31045774728929726,0.6885957338987435,0.7348958333333333,0.3215833333333333,0.7348958333333333,0.7348958333333333,0.3609795808306016,0.666011177953697,0.0,0.4325,0.0,0.7894736842105263,0.1111111111111111,0.0,0.0,0.6591021213616182,0.7152501985702939,0.0,0.8953271028037383,0.0,0.7289907519099317,0.346,0.0,0.075,0.005,0.0,0.0,0.668,0.9005,0.0,0.958,0.0,0.9065,1.0268222,0.98238754,202930944,1420516608,112.95562958717346,102220
7,0.7392708333333333,0.6717000311511158,0.7392708333333332,0.3047269922592352,0.6910170853911711,0.7392708333333333,0.31245833333333334,0.7392708333333333,0.7392708333333333,0.36895251852628164,0.6844502618329454,0.0,0.4827586206896552,0.0,0.8666666666666667,0.0,0.0,0.0,0.5628450795712894,0.7168602322787345,0.0,0.9302098584675451,0.0,0.8680897646414888,0.112,0.0,0.13,0.0,0.0,0.0,0.8665,0.895,0.0,0.953,0.0,0.793,0.96599615,0.95585084,202930944,1623447552,111.97727179527283,102220
8,0.758125,0.697823470084914,0.758125,0.35425588876775654,0.7193636346985242,0.758125,0.366875,0.758125,0.758125,0.3699009097453118,0.7017117090181987,0.0,0.5,0.0,0.5506607929515418,0.2222222222222222,0.0,0.0,0.627925426418088,0.691887959257912,0.0,0.9802981895633652,0.0,0.8658163265306122,0.256,0.0,0.625,0.01,0.0,0.0,0.7915,0.951,0.0,0.9205,0.0,0.8485,0.8956694,0.93472046,202930944,1826378496,110.58378601074219,102220
9,0.7167708333333334,0.6529494589301456,0.7167708333333334,0.3596284897239941,0.702193283565544,0.7167708333333334,0.37520833333333337,0.7167708333333334,0.7167708333333334,0.38872902500386214,0.7172696076516644,0.0,0.254871395167576,0.0,0.7452229299363057,0.4,0.0,0.0,0.5967545638945233,0.7479744136460554,0.0,0.9825119236883942,0.0,0.9374130737134909,0.654,0.0,0.585,0.05,0.0,0.0,0.7355,0.877,0.0,0.927,0.0,0.674,0.8733394,0.97600365,202930944,2029309440,110.09896969795227,102220
